mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	2.0	-1	4/4	1/2	1/2					firstMeasure	2
2	2	2	4.0	-1	4/4	1	0						3
3	3	6	4.0	-1	4/4	1	0						4
4	4	10	4.0	-1	4/4	1	0						5
5	5	14	4.0	-1	4/4	1	0						6
6	6	18	4.0	-1	4/4	1	0						7
7	7	22	4.0	-1	4/4	1	0						8
8	8	26	4.0	-1	4/4	1	0						9
9	9	30	4.0	-1	4/4	1	0						10
10	10	34	4.0	-1	4/4	1	0						11
11	11	38	4.0	-1	4/4	1	0						12
12	12	42	2.0	-1	4/4	1/2	0					end	1, 13
13	13	44	2.0	-1	4/4	1/2	1/2						14
14	14	46	4.0	-1	4/4	1	0				page		15
15	15	50	4.0	-1	4/4	1	0						16
16	16	54	4.0	-1	4/4	1	0						17
17	17	58	4.0	-1	4/4	1	0						18
18	18	62	4.0	-1	4/4	1	0						19
19	19	66	4.0	-1	4/4	1	0						20
20	20	70	4.0	-1	4/4	1	0						21
21	21	74	4.0	-1	4/4	1	0						22
22	22	78	4.0	-1	4/4	1	0						23
23	23	82	4.0	-1	4/4	1	0						24
24	24	86	4.0	-1	4/4	1	0						25
25	25	90	4.0	-1	4/4	1	0						26
26	26	94	4.0	-1	4/4	1	0				page		27
27	27	98	4.0	-1	4/4	1	0						28
28	28	102	4.0	-1	4/4	1	0						29
29	29	106	4.0	-1	4/4	1	0						30
30	30	110	4.0	-1	4/4	1	0						31
31	31	114	4.0	-1	4/4	1	0						32
32	32	118	4.0	-1	4/4	1	0						33
33	33	122	4.0	-1	4/4	1	0						34
34	34	126	4.0	-1	4/4	1	0						35
35	35	130	4.0	-1	4/4	1	0						36
36	36	134	4.0	-1	4/4	1	0						37
37	37	138	2.0	-1	4/4	1/2	0			end		lastMeasure	-1
