mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	2.0	-3	4/4	1/2	1/2					firstMeasure	2
2	2	2	4.0	-3	4/4	1	0						3
3	3	6	4.0	-3	4/4	1	0						4
4	4	10	4.0	-3	4/4	1	0						5
5	5	14	4.0	-3	4/4	1	0						6
6	6	18	4.0	-3	4/4	1	0						7
7	7	22	4.0	-3	4/4	1	0						8
8	8	26	4.0	-3	4/4	1	0						9
9	9	30	4.0	-3	4/4	1	0						10
10	10	34	4.0	-3	4/4	1	0						11
11	11	38	4.0	-3	4/4	1	0						12
12	12	42	4.0	-3	4/4	1	0						13
13	13	46	4.0	-3	4/4	1	0						14
14	14	50	2.0	-3	4/4	1/2	0				page	end	1, 15
15	15	52	2.0	-3	4/4	1/2	1/2						16
16	16	54	4.0	-3	4/4	1	0						17
17	17	58	4.0	-3	4/4	1	0						18
18	18	62	4.0	-3	4/4	1	0						19
19	19	66	4.0	-3	4/4	1	0						20
20	20	70	4.0	-3	4/4	1	0						21
21	21	74	4.0	-3	4/4	1	0						22
22	22	78	4.0	-3	4/4	1	0						23
23	23	82	4.0	-3	4/4	1	0						24
24	24	86	4.0	-3	4/4	1	0						25
25	25	90	4.0	-3	4/4	1	0						26
26	26	94	4.0	-3	4/4	1	0						27
27	27	98	2.0	-3	4/4	1/2	0			end		lastMeasure	-1
