piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus	staff_5_instrument	staff_5_ambitus	staff_6_instrument	staff_6_ambitus	staff_7_instrument	staff_7_ambitus	staff_8_instrument	staff_8_ambitus	staff_9_instrument	staff_9_ambitus	staff_10_instrument	staff_10_ambitus
01_Ach!_Herre_from	1: 4/4	1: 0	17	17	64.0	17	17	64.0	646.0	317	35	0	0	0		Choral Bog		Ach! Herre from						2025-01-28	Linux			"<font size=""22""/>1. Ach! Herre from"	3.6.2	2.5.3	MS3	MS3/01_Ach!_Herre_from.mscx	False	43-76 (G2-E5)	mxl	Soprano	67-76 (G4-E5)	Alto	60-69 (C4-A4)	Tenor	53-64 (F3-E4)	Bass	43-55 (G2-G3)	Piano 1	59-76 (B3-E5)	Piano 1	43-64 (G2-E4)	Piano 2	67-76 (G4-E5)	Piano 2	43-55 (G2-G3)				
02_Af_Adams_Fald_er_plat_forderv't	1: 4/4	1: 0	26	26	96.0	35	35	128.0	968.0	474	54	0	0	0		Choral Bog		Af Adams Fald er plat forderv't						2025-01-28	Linux			"<font size=""22""/>2. Af Adams Fald er plat forderv’t"	3.6.2	2.5.3	MS3	MS3/02_Af_Adams_Fald_er_plat_forderv't.mscx	False	41-76 (F2-E5)	mxl	Soprano	62-76 (D4-E5)	Alto	60-69 (C4-A4)	Tenor	53-64 (F3-E4)	Bass	41-53 (F2-F3)	Piano 1	57-76 (A3-E5)	Piano 1	41-64 (F2-E4)	Piano 2	62-76 (D4-E5)	Piano 2	41-53 (F2-F3)				
03_Af_dybeﬅe_Nød_lader_os_til_Gud	1: 4/4	1: 1	22	22	80.0	31	31	112.0	822.0	440	53	0	0	0		Choral Bog		Af dybeﬅe Nød lader os til Gud						2025-01-28	Linux			"<font size=""22""/>3. Af dybeﬅe Nød lader os til Gud"	3.6.2	2.5.3	MS3	MS3/03_Af_dybeﬅe_Nød_lader_os_til_Gud.mscx	False	42-74 (F#2-D5)	mxl	Soprano	62-74 (D4-D5)	Alto	59-69 (B3-A4)	Tenor	54-64 (F#3-E4)	Bass	42-55 (F#2-G3)	Piano 1	59-74 (B3-D5)	Piano 1	42-64 (F#2-E4)	Piano 2	62-74 (D4-D5)	Piano 2	42-55 (F#2-G3)				
04_Af_dybeﬅe_Nød_raaber_jeg_til_dig	1: 4/4	1: 0	22	22	80.0	31	31	112.0	810.0	439	53	0	0	0		Choral Bog		Af dybeﬅe Nød raaber jeg til dig						2025-01-28	Linux			"<font size=""22""/>4. Af dybeﬅe Nød raaber jeg til dig"	3.6.2	2.5.3	MS3	MS3/04_Af_dybeﬅe_Nød_raaber_jeg_til_dig.mscx	False	43-74 (G2-D5)	mxl	Soprano	64-74 (E4-D5)	Alto	59-69 (B3-A4)	Tenor	52-65 (E3-F4)	Bass	43-57 (G2-A3)	Piano 1	59-74 (B3-D5)	Piano 1	43-64 (G2-E4)	Piano 2	64-74 (E4-D5)	Piano 2	43-57 (G2-A3)				
05_Af_Høyheden_oprunden_er	1: 4/4	1: 2	29	29	112.0	42	42	162.0	1112.0	535	71	0	0	0		Choral Bog		Af Høyheden oprunden er						2025-01-28	Linux			"<font size=""22""/>5. Af Høyheden oprunden er"	3.6.2	2.5.3	MS3	MS3/05_Af_Høyheden_oprunden_er.mscx	False	42-74 (F#2-D5)	mxl	Soprano	62-74 (D4-D5)	Alto	61-71 (C#4-B4)	Tenor	52-66 (E3-F#4)	Bass	42-59 (F#2-B3)	Piano 1	57-74 (A3-D5)	Piano 1	42-62 (F#2-D4)	Piano 2	62-74 (D4-D5)	Piano 2	42-57 (F#2-A3)				
06_Af_Kierlighed_min_Ven	1: 4/4	1: -3	23	23	84.0	35	35	128.0	844.0	400	43	0	0	0		Choral Bog		Af Kierlighed min Ven						2025-01-28	Linux			"<font size=""22""/>6. Af Kierlighed min Ven"	3.6.2	2.5.3	MS3	MS3/06_Af_Kierlighed_min_Ven.mscx	False	43-75 (G2-Eb5)	mxl	Soprano	63-75 (Eb4-Eb5)	Alto	62-68 (D4-Ab4)	Tenor	55-65 (G3-F4)	Bass	43-55 (G2-G3)	Piano 1	58-75 (Bb3-Eb5)	Piano 1	43-64 (G2-E4)	Piano 2	63-75 (Eb4-Eb5)	Piano 2	43-55 (G2-G3)				
07_Alleene_til_dig_Herre_Jeſu_Chriſt	1: 4/4	1: -2	28	28	104.0	37	37	136.0	1046.0	563	77	0	0	0		Choral Bog		A﬉eene til dig Herre Jeſu Chriſt						2025-01-28	Linux			"<font size=""22""/>7. A﬉eene til dig Herre Jeſu Chriſt"	3.6.2	2.5.3	MS3	MS3/07_Alleene_til_dig_Herre_Jeſu_Chriſt.mscx	False	43-75 (G2-Eb5)	mxl	Soprano	62-75 (D4-Eb5)	Alto	58-69 (Bb3-A4)	Tenor	51-65 (Eb3-F4)	Bass	43-58 (G2-Bb3)	Piano 1	58-75 (Bb3-Eb5)	Piano 1	43-65 (G2-F4)	Piano 2	62-75 (D4-Eb5)	Piano 2	43-58 (G2-Bb3)				
08_Alleeneﬅe_Gud_i_Himmerig	1: 3/2	1: 1	22	22	120.0	31	31	168.0	1216.0	438	49	0	0	0		Choral Bog		A﬉eeneﬅe Gud i Himmerig						2025-01-28	Linux			"<font size=""22""/>8. A﬉eeneﬅe Gud i Himmerig"	3.6.2	2.5.3	MS3	MS3/08_Alleeneﬅe_Gud_i_Himmerig.mscx	False	43-74 (G2-D5)	mxl	Soprano	66-74 (F#4-D5)	Alto	62-69 (D4-A4)	Tenor	57-66 (A3-F#4)	Bass	43-55 (G2-G3)	Piano 1	57-74 (A3-D5)	Piano 1	43-64 (G2-E4)	Piano 2	66-74 (F#4-D5)	Piano 2	43-55 (G2-G3)				
09_Bryd_Jeſu!_Bryd_det_Aag	1: 4/4	1: -1	37	37	140.0	49	49	184.0	1356.0	696	88	0	0	0		Choral Bog		Bryd Jeſu! Bryd det Aag						2025-01-28	Linux			"<font size=""22""/>9. Bryd Jeſu! Bryd det Aag"	3.6.2	2.5.3	MS3	MS3/09_Bryd_Jeſu!_Bryd_det_Aag.mscx	False	42-75 (F#2-Eb5)	mxl	Soprano	62-75 (D4-Eb5)	Alto	55-69 (G3-A4)	Tenor	52-63 (E3-Eb4)	Bass	42-60 (F#2-C4)	Piano 1	57-75 (A3-Eb5)	Piano 1	42-63 (F#2-Eb4)	Piano 2	62-75 (D4-Eb5)	Piano 2	42-55 (F#2-G3)				
100_Vør_Herres_Jeſu_Chriſti_Fred	1: 3/2	1: -1	29	29	168.0	29	29	168.0	1684.0	579	72	0	0	0		Choral Bog		Vør Herres Jeſu Chriſti Fred						2025-01-28	Linux			"<font size=""22""/>98. Vør Herres Jeſu Chriſti Fred"	3.6.2	2.5.3	MS3	MS3/100_Vør_Herres_Jeſu_Chriſti_Fred.mscx	False	41-77 (F2-F5)	mxl	Soprano	65-77 (F4-F5)	Alto	60-69 (C4-A4)	Tenor	55-64 (G3-E4)	Bass	41-60 (F2-C4)	Piano 1	54-77 (F#3-F5)	Piano 1	41-60 (F2-C4)	Piano 2	65-77 (F4-F5)	Piano 2	41-60 (F2-C4)				
