mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	1/2	4/4	4	1	1/2	1/2	1		0	48	C3	3	3
1	1	0	0	2.0	0	1/2	4/4	6	2	1/2	1/2	1		0	48	C3	3	7
1	1	0	0	2.0	0	1/2	4/4	8	1	1/2	1/2	1		0	48	C3	3	9
1	1	0	0	2.0	0	1/2	4/4	6	1	1/2	1/2	1		1	55	G3	3	6
1	1	0	0	2.0	0	1/2	4/4	3	1	1/2	1/2	1		-3	63	Eb4	4	2
1	1	0	0	2.0	0	1/2	4/4	5	2	1/2	1/2	1		-3	63	Eb4	4	5
1	1	0	0	2.0	0	1/2	4/4	2	1	1/2	1/2	1		1	67	G4	4	1
1	1	0	0	2.0	0	1/2	4/4	1	1	1/2	1/2	1		0	72	C5	5	0
1	1	0	0	2.0	0	1/2	4/4	5	1	1/2	1/2	1		0	72	C5	5	4
1	1	0	0	2.0	0	1/2	4/4	7	1	1/2	1/2	1		0	72	C5	5	8
2	2	2	2	2.0	0	0	4/4	4	1	1/2	1/2	1		2	50	D3	3	16
2	2	2	2	2.0	0	0	4/4	6	2	1/2	1/2	1		2	50	D3	3	23
2	2	2	2	2.0	0	0	4/4	8	1	1/2	1/2	1		2	50	D3	3	27
2	2	2	2	4.0	0	0	4/4	6	1	1	1	1		-2	58	Bb3	3	22
2	2	2	2	2.0	0	0	4/4	3	1	1/2	1/2	1		2	62	D4	4	14
2	2	2	2	2.0	0	0	4/4	2	1	1/2	1/2	1		-1	65	F4	4	12
2	2	2	2	2.0	0	0	4/4	5	2	1/2	1/2	1		-1	65	F4	4	20
2	2	2	2	2.0	0	0	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	10
2	2	2	2	2.0	0	0	4/4	5	1	1/2	1/2	1		-2	70	Bb4	4	18
2	2	2	2	2.0	0	0	4/4	7	1	1/2	1/2	1		-2	70	Bb4	4	25
2	2	4	4	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		-2	46	Bb2	2	17
2	2	4	4	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		-2	46	Bb2	2	24
2	2	4	4	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		-2	46	Bb2	2	28
2	2	4	4	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	62	D4	4	15
2	2	4	4	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		2	62	D4	4	21
2	2	4	4	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		-1	65	F4	4	13
2	2	4	4	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-4	68	Ab4	4	11
2	2	4	4	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		-4	68	Ab4	4	19
2	2	4	4	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		-4	68	Ab4	4	26
3	3	6	6	2.0	0	0	4/4	4	1	1/2	1/2	1		-3	51	Eb3	3	35
3	3	6	6	2.0	0	0	4/4	6	2	1/2	1/2	1		-3	51	Eb3	3	42
3	3	6	6	2.0	0	0	4/4	8	1	1/2	1/2	1		-3	51	Eb3	3	46
3	3	6	6	2.0	0	0	4/4	3	1	1/2	1/2	1		-2	58	Bb3	3	33
3	3	6	6	4.0	0	0	4/4	6	1	1	1	1		-2	58	Bb3	3	41
3	3	6	6	2.0	0	0	4/4	2	1	1/2	1/2	1		-3	63	Eb4	4	31
3	3	6	6	2.0	0	0	4/4	5	2	1/2	1/2	1		-3	63	Eb4	4	39
3	3	6	6	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	29
3	3	6	6	2.0	0	0	4/4	5	1	1/2	1/2	1		1	67	G4	4	37
3	3	6	6	2.0	0	0	4/4	7	1	1/2	1/2	1		1	67	G4	4	44
3	3	8	8	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		-3	51	Eb3	3	36
3	3	8	8	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		-3	51	Eb3	3	43
3	3	8	8	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		-3	51	Eb3	3	47
3	3	8	8	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		0	60	C4	4	34
3	3	8	8	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		-1	65	F4	4	32
3	3	8	8	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		-1	65	F4	4	40
3	3	8	8	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	30
3	3	8	8	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		3	69	A4	4	38
3	3	8	8	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		3	69	A4	4	45
