mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	1/2	4/4	4	2	1/2	1/2	1		3	45	A2	2	4
1	1	0	0	2.0	0	1/2	4/4	6	2	1/2	1/2	1		3	45	A2	2	8
1	1	0	0	2.0	0	1/2	4/4	8	1	1/2	1/2	1		3	45	A2	2	10
1	1	0	0	2.0	0	1/2	4/4	4	1	1/2	1/2	1		3	57	A3	3	3
1	1	0	0	2.0	0	1/2	4/4	6	1	1/2	1/2	1		3	57	A3	3	7
1	1	0	0	2.0	0	1/2	4/4	2	1	1/2	1/2	1		0	60	C4	4	1
1	1	0	0	2.0	0	1/2	4/4	3	1	1/2	1/2	1		0	60	C4	4	2
1	1	0	0	2.0	0	1/2	4/4	5	2	1/2	1/2	1		0	60	C4	4	6
1	1	0	0	2.0	0	1/2	4/4	1	1	1/2	1/2	1		4	64	E4	4	0
1	1	0	0	2.0	0	1/2	4/4	5	1	1/2	1/2	1		4	64	E4	4	5
1	1	0	0	2.0	0	1/2	4/4	7	1	1/2	1/2	1		4	64	E4	4	9
2	2	2	2	2.0	0	0	4/4	4	2	1/2	1/2	1		1	43	G2	2	19
2	2	2	2	2.0	0	0	4/4	6	2	1/2	1/2	1		1	43	G2	2	27
2	2	2	2	2.0	0	0	4/4	8	1	1/2	1/2	1		1	43	G2	2	31
2	2	2	2	2.0	0	0	4/4	4	1	1/2	1/2	1		1	55	G3	3	17
2	2	2	2	2.0	0	0	4/4	3	1	1/2	1/2	1		-2	58	Bb3	3	15
2	2	2	2	2.0	0	0	4/4	6	1	1/2	1/2	1		-2	58	Bb3	3	25
2	2	2	2	2.0	0	0	4/4	2	1	1/2	1/2	1		4	64	E4	4	13
2	2	2	2	2.0	0	0	4/4	5	2	1/2	1/2	1		4	64	E4	4	23
2	2	2	2	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	11
2	2	2	2	2.0	0	0	4/4	5	1	1/2	1/2	1		1	67	G4	4	21
2	2	2	2	2.0	0	0	4/4	7	1	1/2	1/2	1		1	67	G4	4	29
2	2	4	4	2.0	1/2	1/2	4/4	4	2	1/2	1/2	1		-1	41	F2	2	20
2	2	4	4	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		-1	41	F2	2	28
2	2	4	4	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		-1	41	F2	2	32
2	2	4	4	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		-1	53	F3	3	18
2	2	4	4	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		3	57	A3	3	16
2	2	4	4	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		0	60	C4	4	26
2	2	4	4	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	-1	65	F4	4	14
2	2	4	4	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1	1	-1	65	F4	4	24
2	2	4	4	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	12
2	2	4	4	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		3	69	A4	4	22
2	2	4	4	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		3	69	A4	4	30
3	3	6	6	2.0	0	0	4/4	4	1	1/2	1/2	1		0	48	C3	3	40
3	3	6	6	2.0	0	0	4/4	6	2	1/2	1/2	1		0	48	C3	3	49
3	3	6	6	2.0	0	0	4/4	8	1	1/2	1/2	1		0	48	C3	3	53
3	3	6	6	2.0	0	0	4/4	3	1	1/2	1/2	1		0	60	C4	4	38
3	3	6	6	2.0	0	0	4/4	6	1	1/2	1/2	1		0	60	C4	4	47
3	3	6	6	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	-1	65	F4	4	35
3	3	6	6	1.0	0	0	4/4	5	2	1/4	1/4	1	-1	-1	65	F4	4	44
3	3	6	6	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	33
3	3	6	6	2.0	0	0	4/4	5	1	1/2	1/2	1		1	67	G4	4	42
3	3	6	6	2.0	0	0	4/4	7	1	1/2	1/2	1		1	67	G4	4	51
3	3	7	7	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	36
3	3	7	7	1.0	1/4	1/4	4/4	5	2	1/4	1/4	1		4	64	E4	4	45
3	3	8	8	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		4	52	E3	3	41
3	3	8	8	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		4	52	E3	3	50
3	3	8	8	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		4	52	E3	3	54
3	3	8	8	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		0	60	C4	4	39
3	3	8	8	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		0	60	C4	4	48
3	3	8	8	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	67	G4	4	37
3	3	8	8	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		1	67	G4	4	46
3	3	8	8	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	72	C5	5	34
3	3	8	8	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		0	72	C5	5	43
3	3	8	8	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		0	72	C5	5	52
4	4	10	10	2.0	0	0	4/4	4	1	1/2	1/2	1		-1	53	F3	3	61
4	4	10	10	2.0	0	0	4/4	6	2	1/2	1/2	1		-1	53	F3	3	69
4	4	10	10	2.0	0	0	4/4	8	1	1/2	1/2	1		-1	53	F3	3	73
4	4	10	10	2.0	0	0	4/4	3	1	1/2	1/2	1		3	57	A3	3	59
4	4	10	10	2.0	0	0	4/4	6	1	1/2	1/2	1		3	57	A3	3	67
4	4	10	10	2.0	0	0	4/4	5	2	1/2	1/2	1		-1	65	F4	4	65
4	4	10	10	2.0	0	0	4/4	2	1	1/2	1/2	1		3	69	A4	4	57
4	4	10	10	2.0	0	0	4/4	1	1	1/2	1/2	1		2	74	D5	5	55
4	4	10	10	2.0	0	0	4/4	5	1	1/2	1/2	1		2	74	D5	5	63
4	4	10	10	2.0	0	0	4/4	7	1	1/2	1/2	1		2	74	D5	5	71
4	4	12	12	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		1	55	G3	3	62
4	4	12	12	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		1	55	G3	3	68
4	4	12	12	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		1	55	G3	3	70
4	4	12	12	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		1	55	G3	3	74
4	4	12	12	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	62	D4	4	60
4	4	12	12	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		2	62	D4	4	66
4	4	12	12	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	67	G4	4	58
4	4	12	12	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	56
4	4	12	12	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		5	71	B4	4	64
4	4	12	12	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		5	71	B4	4	72
5	5	14	14	2.0	0	0	4/4	4	1	1/2	1/2	1		0	48	C3	3	81
5	5	14	14	2.0	0	0	4/4	6	2	1/2	1/2	1		0	48	C3	3	89
5	5	14	14	2.0	0	0	4/4	8	1	1/2	1/2	1		0	48	C3	3	93
5	5	14	14	2.0	0	0	4/4	6	1	1/2	1/2	1		1	55	G3	3	87
5	5	14	14	2.0	0	0	4/4	3	1	1/2	1/2	1		4	64	E4	4	79
5	5	14	14	2.0	0	0	4/4	5	2	1/2	1/2	1		4	64	E4	4	85
5	5	14	14	2.0	0	0	4/4	2	1	1/2	1/2	1		1	67	G4	4	77
5	5	14	14	2.0	0	0	4/4	1	1	1/2	1/2	1		0	72	C5	5	75
5	5	14	14	2.0	0	0	4/4	5	1	1/2	1/2	1		0	72	C5	5	83
5	5	14	14	2.0	0	0	4/4	7	1	1/2	1/2	1		0	72	C5	5	91
5	5	16	16	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		3	45	A2	2	82
5	5	16	16	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		3	45	A2	2	90
5	5	16	16	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		3	45	A2	2	94
5	5	16	16	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		4	64	E4	4	80
5	5	16	16	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		4	64	E4	4	88
5	5	16	16	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	69	A4	4	78
5	5	16	16	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		3	69	A4	4	86
5	5	16	16	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	72	C5	5	76
5	5	16	16	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		0	72	C5	5	84
5	5	16	16	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		0	72	C5	5	92
6	6	18	18	2.0	0	0	4/4	4	1	1/2	1/2	1		2	50	D3	3	101
6	6	18	18	2.0	0	0	4/4	6	2	1/2	1/2	1		2	50	D3	3	109
6	6	18	18	2.0	0	0	4/4	8	1	1/2	1/2	1		2	50	D3	3	113
6	6	18	18	2.0	0	0	4/4	3	1	1/2	1/2	1		4	64	E4	4	99
6	6	18	18	2.0	0	0	4/4	6	1	1/2	1/2	1		4	64	E4	4	107
6	6	18	18	2.0	0	0	4/4	2	1	1/2	1/2	1		8	68	G#4	4	97
6	6	18	18	2.0	0	0	4/4	5	2	1/2	1/2	1		8	68	G#4	4	105
6	6	18	18	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	95
6	6	18	18	2.0	0	0	4/4	5	1	1/2	1/2	1		5	71	B4	4	103
6	6	18	18	2.0	0	0	4/4	7	1	1/2	1/2	1		5	71	B4	4	111
6	6	20	20	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		0	48	C3	3	102
6	6	20	20	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		0	48	C3	3	110
6	6	20	20	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		0	48	C3	3	114
6	6	20	20	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		4	64	E4	4	100
6	6	20	20	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		4	64	E4	4	108
6	6	20	20	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	3	69	A4	4	98
6	6	20	20	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1	1	3	69	A4	4	106
6	6	20	20	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	72	C5	5	96
6	6	20	20	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		0	72	C5	5	104
6	6	20	20	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		0	72	C5	5	112
7	7	22	22	2.0	0	0	4/4	4	1	1/2	1/2	1		5	47	B2	2	122
7	7	22	22	2.0	0	0	4/4	6	2	1/2	1/2	1		5	47	B2	2	131
7	7	22	22	2.0	0	0	4/4	8	1	1/2	1/2	1		5	47	B2	2	135
7	7	22	22	2.0	0	0	4/4	3	1	1/2	1/2	1		2	62	D4	4	119
7	7	22	22	2.0	0	0	4/4	6	1	1/2	1/2	1		-1	65	F4	4	128
7	7	22	22	2.0	0	0	4/4	2	1	1/2	1/2	1	-1	3	69	A4	4	117
7	7	22	22	2.0	0	0	4/4	5	2	1/2	1/2	1	-1	3	69	A4	4	126
7	7	22	22	2.0	0	0	4/4	1	1	1/2	1/2	1		2	74	D5	5	115
7	7	22	22	2.0	0	0	4/4	5	1	1/2	1/2	1		2	74	D5	5	124
7	7	22	22	2.0	0	0	4/4	7	1	1/2	1/2	1		2	74	D5	5	133
7	7	24	24	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		4	52	E3	3	123
7	7	24	24	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		4	52	E3	3	132
7	7	24	24	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		4	52	E3	3	136
7	7	24	24	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		4	64	E4	4	120
7	7	24	24	1.0	1/2	1/2	4/4	6	1	1/4	1/4	1		4	64	E4	4	129
7	7	24	24	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		8	68	G#4	4	118
7	7	24	24	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		8	68	G#4	4	127
7	7	24	24	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	116
7	7	24	24	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		5	71	B4	4	125
7	7	24	24	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		5	71	B4	4	134
7	7	25	25	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		2	62	D4	4	121
7	7	25	25	1.0	3/4	3/4	4/4	6	1	1/4	1/4	1		2	62	D4	4	130
8	8	26	26	1.0	0	0	4/4	4	1	1/4	1/4	1		-1	53	F3	3	145
8	8	26	26	1.0	0	0	4/4	6	2	1/4	1/4	1		-1	53	F3	3	156
8	8	26	26	1.0	0	0	4/4	8	1	1/4	1/4	1		-1	53	F3	3	161
8	8	26	26	1.0	0	0	4/4	3	1	1/4	1/4	1		0	60	C4	4	142
8	8	26	26	1.0	0	0	4/4	6	1	1/4	1/4	1		0	60	C4	4	153
8	8	26	26	1.0	0	0	4/4	2	1	1/4	1/4	1		3	69	A4	4	139
8	8	26	26	1.0	0	0	4/4	5	2	1/4	1/4	1		3	69	A4	4	150
8	8	26	26	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	137
8	8	26	26	2.0	0	0	4/4	5	1	1/2	1/2	1		3	69	A4	4	148
8	8	26	26	2.0	0	0	4/4	7	1	1/2	1/2	1		3	69	A4	4	159
8	8	27	27	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		2	50	D3	3	146
8	8	27	27	1.0	1/4	1/4	4/4	6	2	1/4	1/4	1		2	50	D3	3	157
8	8	27	27	1.0	1/4	1/4	4/4	8	1	1/4	1/4	1		2	50	D3	3	162
8	8	27	27	2.0	1/4	1/4	4/4	3	1	1/2	1/2	1		5	59	B3	3	143
8	8	27	27	2.0	1/4	1/4	4/4	6	1	1/2	1/2	1		5	59	B3	3	154
8	8	27	27	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-1	65	F4	4	140
8	8	27	27	1.0	1/4	1/4	4/4	5	2	1/4	1/4	1		-1	65	F4	4	151
8	8	28	28	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		4	52	E3	3	147
8	8	28	28	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		4	52	E3	3	158
8	8	28	28	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		4	52	E3	3	163
8	8	28	28	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	64	E4	4	141
8	8	28	28	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		4	64	E4	4	152
8	8	28	28	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		8	68	G#4	4	138
8	8	28	28	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		8	68	G#4	4	149
8	8	28	28	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		8	68	G#4	4	160
8	8	29	29	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		5	59	B3	3	144
8	8	29	29	1.0	3/4	3/4	4/4	6	1	1/4	1/4	1		2	62	D4	4	155
9	9	30	30	2.0	0	0	4/4	4	1	1/2	1/2	1		3	45	A2	2	167
9	9	30	30	2.0	0	0	4/4	6	2	1/2	1/2	1		3	45	A2	2	171
9	9	30	30	2.0	0	0	4/4	8	1	1/2	1/2	1		3	45	A2	2	173
9	9	30	30	2.0	0	0	4/4	3	1	1/2	1/2	1		0	60	C4	4	166
9	9	30	30	2.0	0	0	4/4	6	1	1/2	1/2	1		0	60	C4	4	170
9	9	30	30	2.0	0	0	4/4	2	1	1/2	1/2	1		4	64	E4	4	165
9	9	30	30	2.0	0	0	4/4	5	2	1/2	1/2	1		4	64	E4	4	169
9	9	30	30	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	164
9	9	30	30	2.0	0	0	4/4	5	1	1/2	1/2	1		3	69	A4	4	168
9	9	30	30	2.0	0	0	4/4	7	1	1/2	1/2	1		3	69	A4	4	172
10	10	32	32	2.0	0	1/2	4/4	4	1	1/2	1/2	1		2	50	D3	3	177
10	10	32	32	2.0	0	1/2	4/4	6	2	1/2	1/2	1		2	50	D3	3	181
10	10	32	32	2.0	0	1/2	4/4	8	1	1/2	1/2	1		2	50	D3	3	183
