mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	4.0	0	0	4/4	4	1	1	1	1		3	45	A2	2	3
1	1	0	0	4.0	0	0	4/4	6	2	1	1	1		3	45	A2	2	8
1	1	0	0	4.0	0	0	4/4	8	1	1	1	1		3	45	A2	2	10
1	1	0	0	4.0	0	0	4/4	6	1	1	1	1		3	57	A3	3	7
1	1	0	0	4.0	0	0	4/4	3	1	1	1	1		7	61	C#4	4	2
1	1	0	0	4.0	0	0	4/4	5	3	1	1	1		7	61	C#4	4	6
1	1	0	0	4.0	0	0	4/4	2	1	1	1	1		4	64	E4	4	1
1	1	0	0	4.0	0	0	4/4	5	2	1	1	1		4	64	E4	4	5
1	1	0	0	4.0	0	0	4/4	1	1	1	1	1		3	69	A4	4	0
1	1	0	0	4.0	0	0	4/4	5	1	1	1	1		3	69	A4	4	4
1	1	0	0	4.0	0	0	4/4	7	1	1	1	1		3	69	A4	4	9
2	2	4	4	2.0	0	0	4/4	4	1	1/2	1/2	1		7	49	C#3	3	18
2	2	4	4	2.0	0	0	4/4	6	2	1/2	1/2	1		7	49	C#3	3	26
2	2	4	4	2.0	0	0	4/4	8	1	1/2	1/2	1		7	49	C#3	3	30
2	2	4	4	2.0	0	0	4/4	3	1	1/2	1/2	1		3	57	A3	3	16
2	2	4	4	4.0	0	0	4/4	6	1	1	1	1		3	57	A3	3	25
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1		4	64	E4	4	13
2	2	4	4	2.0	0	0	4/4	5	2	1/2	1/2	1		4	64	E4	4	22
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	11
2	2	4	4	2.0	0	0	4/4	5	1	1/2	1/2	1		3	69	A4	4	20
2	2	4	4	2.0	0	0	4/4	7	1	1/2	1/2	1		3	69	A4	4	28
2	2	6	6	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		2	50	D3	3	19
2	2	6	6	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		2	50	D3	3	27
2	2	6	6	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		2	50	D3	3	31
2	2	6	6	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		3	57	A3	3	17
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	14
2	2	6	6	1.0	1/2	1/2	4/4	5	2	1/4	1/4	1		2	62	D4	4	23
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		6	66	F#4	4	12
2	2	6	6	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		6	66	F#4	4	21
2	2	6	6	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		6	66	F#4	4	29
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	15
2	2	7	7	1.0	3/4	3/4	4/4	5	2	1/4	1/4	1		7	61	C#4	4	24
3	3	8	8	2.0	0	0	4/4	4	1	1/2	1/2	1	1	4	52	E3	3	37
3	3	8	8	2.0	0	0	4/4	4	2	1/2	1/2	1		4	52	E3	3	39
3	3	8	8	2.0	0	0	4/4	8	1	1/2	1/2	1		4	52	E3	3	48
3	3	8	8	4.0	0	0	4/4	6	2	1	1	1		4	52	E3	3	46
3	3	8	8	4.0	0	0	4/4	3	1	1	1	1		8	56	G#3	3	36
3	3	8	8	4.0	0	0	4/4	6	1	1	1	1		8	56	G#3	3	45
3	3	8	8	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	33
3	3	8	8	1.0	0	0	4/4	5	2	1/4	1/4	1		5	59	B3	3	42
3	3	8	8	4.0	0	0	4/4	1	1	1	1	1		4	64	E4	4	32
