mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	1/2	4/4	4	1	1/2	1/2	1		3	45	A2	2	3
1	1	0	0	2.0	0	1/2	4/4	6	2	1/2	1/2	1		3	45	A2	2	7
1	1	0	0	2.0	0	1/2	4/4	8	1	1/2	1/2	1		3	45	A2	2	9
1	1	0	0	2.0	0	1/2	4/4	3	1	1/2	1/2	1		7	61	C#4	4	2
1	1	0	0	2.0	0	1/2	4/4	6	1	1/2	1/2	1		7	61	C#4	4	6
1	1	0	0	2.0	0	1/2	4/4	2	1	1/2	1/2	1		4	64	E4	4	1
1	1	0	0	2.0	0	1/2	4/4	5	2	1/2	1/2	1		4	64	E4	4	5
1	1	0	0	2.0	0	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	0
1	1	0	0	2.0	0	1/2	4/4	5	1	1/2	1/2	1		3	69	A4	4	4
1	1	0	0	2.0	0	1/2	4/4	7	1	1/2	1/2	1		3	69	A4	4	8
2	2	2	2	2.0	0	0	4/4	3	1	1/2	1/2	1		3	57	A3	3	14
2	2	2	2	2.0	0	0	4/4	4	1	1/2	1/2	1		3	57	A3	3	16
2	2	2	2	2.0	0	0	4/4	6	2	1/2	1/2	1		3	57	A3	3	24
2	2	2	2	2.0	0	0	4/4	8	1	1/2	1/2	1		3	57	A3	3	28
2	2	2	2	2.0	0	0	4/4	2	1	1/2	1/2	1		4	64	E4	4	12
2	2	2	2	2.0	0	0	4/4	6	1	1/2	1/2	1		4	64	E4	4	22
2	2	2	2	2.0	0	0	4/4	5	2	1/2	1/2	1		3	69	A4	4	20
2	2	2	2	2.0	0	0	4/4	1	1	1/2	1/2	1		7	73	C#5	5	10
2	2	2	2	2.0	0	0	4/4	5	1	1/2	1/2	1		7	73	C#5	5	18
2	2	2	2	2.0	0	0	4/4	7	1	1/2	1/2	1		7	73	C#5	5	26
2	2	4	4	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		9	51	D#3	3	17
2	2	4	4	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		9	51	D#3	3	25
2	2	4	4	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		9	51	D#3	3	29
2	2	4	4	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		3	57	A3	3	15
2	2	4	4	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	66	F#4	4	13
2	2	4	4	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		6	66	F#4	4	23
2	2	4	4	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		3	69	A4	4	21
2	2	4	4	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		7	73	C#5	5	11
2	2	4	4	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		7	73	C#5	5	19
2	2	4	4	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		7	73	C#5	5	27
3	3	6	6	2.0	0	0	4/4	4	1	1/2	1/2	1		4	52	E3	3	36
3	3	6	6	2.0	0	0	4/4	6	2	1/2	1/2	1		4	52	E3	3	44
3	3	6	6	2.0	0	0	4/4	8	1	1/2	1/2	1		4	52	E3	3	48
3	3	6	6	2.0	0	0	4/4	3	1	1/2	1/2	1		8	56	G#3	3	34
3	3	6	6	2.0	0	0	4/4	6	1	1/2	1/2	1		5	59	B3	3	42
3	3	6	6	2.0	0	0	4/4	2	1	1/2	1/2	1		8	68	G#4	4	32
3	3	6	6	2.0	0	0	4/4	5	2	1/2	1/2	1		8	68	G#4	4	40
3	3	6	6	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	30
3	3	6	6	2.0	0	0	4/4	5	1	1/2	1/2	1		5	71	B4	4	38
3	3	6	6	2.0	0	0	4/4	7	1	1/2	1/2	1		5	71	B4	4	46
3	3	8	8	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		7	49	C#3	3	37
3	3	8	8	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		7	49	C#3	3	45
3	3	8	8	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		7	49	C#3	3	49
3	3	8	8	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		7	61	C#4	4	35
3	3	8	8	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		7	61	C#4	4	43
3	3	8	8	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		8	68	G#4	4	33
3	3	8	8	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		8	68	G#4	4	41
3	3	8	8	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	76	E5	5	31
3	3	8	8	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		4	76	E5	5	39
3	3	8	8	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		4	76	E5	5	47
4	4	10	10	2.0	0	0	4/4	4	1	1/2	1/2	1		6	54	F#3	3	56
4	4	10	10	2.0	0	0	4/4	6	2	1/2	1/2	1		6	54	F#3	3	64
4	4	10	10	2.0	0	0	4/4	8	1	1/2	1/2	1		6	54	F#3	3	68
4	4	10	10	2.0	0	0	4/4	3	1	1/2	1/2	1		7	61	C#4	4	54
4	4	10	10	2.0	0	0	4/4	6	1	1/2	1/2	1		7	61	C#4	4	62
4	4	10	10	2.0	0	0	4/4	2	1	1/2	1/2	1		6	66	F#4	4	52
4	4	10	10	2.0	0	0	4/4	5	2	1/2	1/2	1		6	66	F#4	4	60
4	4	10	10	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	50
4	4	10	10	2.0	0	0	4/4	5	1	1/2	1/2	1		3	69	A4	4	58
4	4	10	10	2.0	0	0	4/4	7	1	1/2	1/2	1		3	69	A4	4	66
4	4	12	12	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		8	56	G#3	3	57
4	4	12	12	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		8	56	G#3	3	65
4	4	12	12	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		8	56	G#3	3	69
4	4	12	12	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		5	59	B3	3	55
4	4	12	12	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		5	59	B3	3	63
4	4	12	12	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	64	E4	4	53
4	4	12	12	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		4	64	E4	4	61
4	4	12	12	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		2	74	D5	5	51
4	4	12	12	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		2	74	D5	5	59
4	4	12	12	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		2	74	D5	5	67
5	5	14	14	2.0	0	0	4/4	4	1	1/2	1/2	1		3	57	A3	3	74
5	5	14	14	2.0	0	0	4/4	6	1	1/2	1/2	1	1	3	57	A3	3	79
5	5	14	14	2.0	0	0	4/4	6	2	1/2	1/2	1		3	57	A3	3	81
5	5	14	14	2.0	0	0	4/4	8	1	1/2	1/2	1		3	57	A3	3	84
5	5	14	14	4.0	0	0	4/4	3	1	1	1	1		3	57	A3	3	73
5	5	14	14	2.0	0	0	4/4	2	1	1/2	1/2	1		4	64	E4	4	71
5	5	14	14	2.0	0	0	4/4	5	2	1/2	1/2	1		4	64	E4	4	77
5	5	14	14	4.0	0	0	4/4	1	1	1	1	1		7	73	C#5	5	70
5	5	14	14	4.0	0	0	4/4	5	1	1	1	1		7	73	C#5	5	76
5	5	14	14	4.0	0	0	4/4	7	1	1	1	1		7	73	C#5	5	83
5	5	16	16	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		9	51	D#3	3	75
5	5	16	16	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		9	51	D#3	3	82
5	5	16	16	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		9	51	D#3	3	85
5	5	16	16	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1	-1	3	57	A3	3	80
5	5	16	16	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	66	F#4	4	72
5	5	16	16	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		6	66	F#4	4	78
6	6	18	18	2.0	0	0	4/4	4	1	1/2	1/2	1		4	52	E3	3	92
6	6	18	18	2.0	0	0	4/4	6	2	1/2	1/2	1		4	52	E3	3	100
6	6	18	18	2.0	0	0	4/4	8	1	1/2	1/2	1		4	52	E3	3	104
6	6	18	18	2.0	0	0	4/4	3	1	1/2	1/2	1		8	56	G#3	3	90
6	6	18	18	2.0	0	0	4/4	6	1	1/2	1/2	1		8	56	G#3	3	98
6	6	18	18	2.0	0	0	4/4	2	1	1/2	1/2	1		8	68	G#4	4	88
6	6	18	18	2.0	0	0	4/4	5	2	1/2	1/2	1		8	68	G#4	4	96
6	6	18	18	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	86
6	6	18	18	2.0	0	0	4/4	5	1	1/2	1/2	1		5	71	B4	4	94
6	6	18	18	2.0	0	0	4/4	7	1	1/2	1/2	1		5	71	B4	4	102
6	6	20	20	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		2	50	D3	3	93
6	6	20	20	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		2	50	D3	3	101
6	6	20	20	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		2	50	D3	3	105
6	6	20	20	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		5	59	B3	3	91
6	6	20	20	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		5	59	B3	3	99
6	6	20	20	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	66	F#4	4	89
6	6	20	20	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		6	66	F#4	4	97
6	6	20	20	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	87
6	6	20	20	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		5	71	B4	4	95
6	6	20	20	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		5	71	B4	4	103
7	7	22	22	2.0	0	0	4/4	4	1	1/2	1/2	1		7	49	C#3	3	112
7	7	22	22	2.0	0	0	4/4	6	2	1/2	1/2	1		7	49	C#3	3	120
7	7	22	22	2.0	0	0	4/4	8	1	1/2	1/2	1		7	49	C#3	3	124
7	7	22	22	2.0	0	0	4/4	3	1	1/2	1/2	1		8	56	G#3	3	110
7	7	22	22	2.0	0	0	4/4	6	1	1/2	1/2	1		8	56	G#3	3	118
7	7	22	22	2.0	0	0	4/4	2	1	1/2	1/2	1		11	65	E#4	4	108
7	7	22	22	2.0	0	0	4/4	5	2	1/2	1/2	1		11	65	E#4	4	116
7	7	22	22	2.0	0	0	4/4	1	1	1/2	1/2	1		7	73	C#5	5	106
7	7	22	22	2.0	0	0	4/4	5	1	1/2	1/2	1		7	73	C#5	5	114
7	7	22	22	2.0	0	0	4/4	7	1	1/2	1/2	1		7	73	C#5	5	122
7	7	24	24	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		11	53	E#3	3	113
7	7	24	24	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		11	53	E#3	3	121
7	7	24	24	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		11	53	E#3	3	125
7	7	24	24	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		7	61	C#4	4	111
7	7	24	24	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		7	61	C#4	4	119
7	7	24	24	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		8	68	G#4	4	109
7	7	24	24	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		8	68	G#4	4	117
7	7	24	24	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	107
7	7	24	24	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		5	71	B4	4	115
7	7	24	24	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		5	71	B4	4	123
8	8	26	26	2.0	0	0	4/4	4	1	1/2	1/2	1		6	54	F#3	3	132
8	8	26	26	2.0	0	0	4/4	6	2	1/2	1/2	1		6	54	F#3	3	140
8	8	26	26	2.0	0	0	4/4	8	1	1/2	1/2	1		6	54	F#3	3	144
8	8	26	26	2.0	0	0	4/4	3	1	1/2	1/2	1		7	61	C#4	4	130
8	8	26	26	2.0	0	0	4/4	6	1	1/2	1/2	1		7	61	C#4	4	138
8	8	26	26	2.0	0	0	4/4	2	1	1/2	1/2	1		6	66	F#4	4	128
8	8	26	26	2.0	0	0	4/4	5	2	1/2	1/2	1		6	66	F#4	4	136
8	8	26	26	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	126
8	8	26	26	2.0	0	0	4/4	5	1	1/2	1/2	1		3	69	A4	4	134
8	8	26	26	2.0	0	0	4/4	7	1	1/2	1/2	1		3	69	A4	4	142
8	8	28	28	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		4	52	E3	3	133
8	8	28	28	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		4	52	E3	3	141
8	8	28	28	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		4	52	E3	3	145
8	8	28	28	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		4	64	E4	4	131
8	8	28	28	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		4	64	E4	4	139
8	8	28	28	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		8	68	G#4	4	129
8	8	28	28	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		8	68	G#4	4	137
8	8	28	28	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		7	73	C#5	5	127
8	8	28	28	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		7	73	C#5	5	135
8	8	28	28	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		7	73	C#5	5	143
9	9	30	30	2.0	0	0	4/4	4	1	1/2	1/2	1		9	51	D#3	3	152
9	9	30	30	2.0	0	0	4/4	6	2	1/2	1/2	1		9	51	D#3	3	159
9	9	30	30	2.0	0	0	4/4	8	1	1/2	1/2	1		9	51	D#3	3	163
9	9	30	30	2.0	0	0	4/4	3	1	1/2	1/2	1		5	59	B3	3	150
9	9	30	30	4.0	0	0	4/4	6	1	1	1	1		5	59	B3	3	158
9	9	30	30	2.0	0	0	4/4	2	1	1/2	1/2	1		6	66	F#4	4	148
9	9	30	30	2.0	0	0	4/4	5	2	1/2	1/2	1		6	66	F#4	4	156
9	9	30	30	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	146
9	9	30	30	2.0	0	0	4/4	5	1	1/2	1/2	1		5	71	B4	4	154
9	9	30	30	2.0	0	0	4/4	7	1	1/2	1/2	1		5	71	B4	4	161
9	9	32	32	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		5	47	B2	2	153
9	9	32	32	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		5	47	B2	2	160
9	9	32	32	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		5	47	B2	2	164
9	9	32	32	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		5	59	B3	3	151
9	9	32	32	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		9	63	D#4	4	149
9	9	32	32	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		9	63	D#4	4	157
