mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	1/2	4/4	4	1	1/2	1/2	1		1	43	G2	2	3
1	1	0	0	2.0	0	1/2	4/4	6	2	1/2	1/2	1		1	43	G2	2	7
1	1	0	0	2.0	0	1/2	4/4	8	1	1/2	1/2	1		1	43	G2	2	9
1	1	0	0	2.0	0	1/2	4/4	3	1	1/2	1/2	1	1	1	55	G3	3	2
1	1	0	0	2.0	0	1/2	4/4	6	1	1/2	1/2	1	1	1	55	G3	3	6
1	1	0	0	2.0	0	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	1
1	1	0	0	2.0	0	1/2	4/4	5	2	1/2	1/2	1		2	62	D4	4	5
1	1	0	0	2.0	0	1/2	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	0
1	1	0	0	2.0	0	1/2	4/4	5	1	1/2	1/2	1		-2	70	Bb4	4	4
1	1	0	0	2.0	0	1/2	4/4	7	1	1/2	1/2	1		-2	70	Bb4	4	8
2	2	2	2	2.0	0	0	4/4	4	1	1/2	1/2	1		2	50	D3	3	18
2	2	2	2	2.0	0	0	4/4	6	2	1/2	1/2	1		2	50	D3	3	27
2	2	2	2	2.0	0	0	4/4	8	1	1/2	1/2	1		2	50	D3	3	31
2	2	2	2	1.0	0	0	4/4	3	1	1/4	1/4	1	-1	1	55	G3	3	15
2	2	2	2	1.0	0	0	4/4	6	1	1/4	1/4	1	-1	1	55	G3	3	24
2	2	2	2	2.0	0	0	4/4	2	1	1/2	1/2	1	1	2	62	D4	4	12
2	2	2	2	3.0	0	0	4/4	5	2	3/4	1/2	3/2		2	62	D4	4	22
2	2	2	2	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	10
2	2	2	2	2.0	0	0	4/4	5	1	1/2	1/2	1		3	69	A4	4	20
2	2	2	2	2.0	0	0	4/4	7	1	1/2	1/2	1		3	69	A4	4	29
2	2	3	3	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		6	54	F#3	3	16
2	2	3	3	1.0	1/4	1/4	4/4	6	1	1/4	1/4	1		6	54	F#3	3	25
2	2	4	4	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		-3	51	Eb3	3	19
2	2	4	4	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		-3	51	Eb3	3	28
2	2	4	4	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		-3	51	Eb3	3	32
2	2	4	4	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		1	55	G3	3	17
2	2	4	4	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		1	55	G3	3	26
2	2	4	4	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1	-1	2	62	D4	4	13
2	2	4	4	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	11
2	2	4	4	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		1	67	G4	4	21
2	2	4	4	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		1	67	G4	4	30
2	2	5	5	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	14
2	2	5	5	1.0	3/4	3/4	4/4	5	2	1/4	1/4	1		7	61	C#4	4	23
3	3	6	6	2.0	0	0	4/4	4	1	1/2	1/2	1		2	50	D3	3	39
3	3	6	6	2.0	0	0	4/4	6	2	1/2	1/2	1		2	50	D3	3	47
3	3	6	6	2.0	0	0	4/4	8	1	1/2	1/2	1		2	50	D3	3	51
3	3	6	6	2.0	0	0	4/4	3	1	1/2	1/2	1		3	57	A3	3	37
3	3	6	6	2.0	0	0	4/4	6	1	1/2	1/2	1		3	57	A3	3	45
3	3	6	6	2.0	0	0	4/4	2	1	1/2	1/2	1		2	62	D4	4	35
3	3	6	6	2.0	0	0	4/4	5	2	1/2	1/2	1		2	62	D4	4	43
3	3	6	6	2.0	0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	33
3	3	6	6	2.0	0	0	4/4	5	1	1/2	1/2	1		6	66	F#4	4	41
3	3	6	6	2.0	0	0	4/4	7	1	1/2	1/2	1		6	66	F#4	4	49
3	3	8	8	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		0	48	C3	3	40
3	3	8	8	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		0	48	C3	3	48
3	3	8	8	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		0	48	C3	3	52
3	3	8	8	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		3	57	A3	3	38
3	3	8	8	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		3	57	A3	3	46
3	3	8	8	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	36
3	3	8	8	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		2	62	D4	4	44
3	3	8	8	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		6	66	F#4	4	34
3	3	8	8	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		6	66	F#4	4	42
3	3	8	8	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		6	66	F#4	4	50
4	4	10	10	2.0	0	0	4/4	4	1	1/2	1/2	1		-2	46	Bb2	2	59
4	4	10	10	2.0	0	0	4/4	6	2	1/2	1/2	1		-2	46	Bb2	2	67
4	4	10	10	2.0	0	0	4/4	8	1	1/2	1/2	1		-2	46	Bb2	2	71
4	4	10	10	2.0	0	0	4/4	3	1	1/2	1/2	1		-2	58	Bb3	3	57
4	4	10	10	2.0	0	0	4/4	6	1	1/2	1/2	1		-2	58	Bb3	3	65
4	4	10	10	2.0	0	0	4/4	2	1	1/2	1/2	1		2	62	D4	4	55
4	4	10	10	2.0	0	0	4/4	5	2	1/2	1/2	1		2	62	D4	4	63
