mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	4	1	1/2	1/2	1		2	50	D3	3	6
1	1	0	0	2.0	0	0	4/4	6	2	1/2	1/2	1		2	50	D3	3	14
1	1	0	0	2.0	0	0	4/4	8	1	1/2	1/2	1		2	50	D3	3	18
1	1	0	0	2.0	0	0	4/4	3	1	1/2	1/2	1		2	62	D4	4	4
1	1	0	0	2.0	0	0	4/4	6	1	1/2	1/2	1		2	62	D4	4	12
1	1	0	0	2.0	0	0	4/4	2	1	1/2	1/2	1		6	66	F#4	4	2
1	1	0	0	2.0	0	0	4/4	5	2	1/2	1/2	1		6	66	F#4	4	10
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	0
1	1	0	0	2.0	0	0	4/4	5	1	1/2	1/2	1		3	69	A4	4	8
1	1	0	0	2.0	0	0	4/4	7	1	1/2	1/2	1		3	69	A4	4	16
1	1	2	2	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		2	50	D3	3	7
1	1	2	2	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		2	50	D3	3	15
1	1	2	2	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		2	50	D3	3	19
1	1	2	2	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	62	D4	4	5
1	1	2	2	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		2	62	D4	4	13
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	66	F#4	4	3
1	1	2	2	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		6	66	F#4	4	11
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	1
1	1	2	2	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		3	69	A4	4	9
1	1	2	2	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		3	69	A4	4	17
2	2	4	4	2.0	0	0	4/4	4	1	1/2	1/2	1		1	55	G3	3	26
2	2	4	4	2.0	0	0	4/4	6	2	1/2	1/2	1		1	55	G3	3	34
2	2	4	4	2.0	0	0	4/4	8	1	1/2	1/2	1		1	55	G3	3	38
2	2	4	4	2.0	0	0	4/4	3	1	1/2	1/2	1		2	62	D4	4	24
2	2	4	4	2.0	0	0	4/4	6	1	1/2	1/2	1		2	62	D4	4	32
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1		1	67	G4	4	22
2	2	4	4	2.0	0	0	4/4	5	2	1/2	1/2	1		1	67	G4	4	30
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	20
2	2	4	4	2.0	0	0	4/4	5	1	1/2	1/2	1		5	71	B4	4	28
2	2	4	4	2.0	0	0	4/4	7	1	1/2	1/2	1		5	71	B4	4	36
2	2	6	6	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		4	52	E3	3	27
2	2	6	6	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		4	52	E3	3	35
