mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	3/2	4	1	1/2	1/2	1		-1	53	F3	3	9
1	1	0	0	2.0	0	0	3/2	6	2	1/2	1/2	1		-1	53	F3	3	21
1	1	0	0	2.0	0	0	3/2	8	1	1/2	1/2	1		-1	53	F3	3	27
1	1	0	0	2.0	0	0	3/2	3	1	1/2	1/2	1		3	57	A3	3	6
1	1	0	0	2.0	0	0	3/2	6	1	1/2	1/2	1		3	57	A3	3	18
1	1	0	0	2.0	0	0	3/2	2	1	1/2	1/2	1		0	60	C4	4	3
1	1	0	0	2.0	0	0	3/2	5	2	1/2	1/2	1		0	60	C4	4	15
1	1	0	0	2.0	0	0	3/2	1	1	1/2	1/2	1		-1	65	F4	4	0
1	1	0	0	2.0	0	0	3/2	5	1	1/2	1/2	1		-1	65	F4	4	12
1	1	0	0	2.0	0	0	3/2	7	1	1/2	1/2	1		-1	65	F4	4	24
1	1	2	2	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		4	52	E3	3	10
1	1	2	2	2.0	1/2	1/2	3/2	6	2	1/2	1/2	1		4	52	E3	3	22
1	1	2	2	2.0	1/2	1/2	3/2	8	1	1/2	1/2	1		4	52	E3	3	28
1	1	2	2	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		0	60	C4	4	4
1	1	2	2	2.0	1/2	1/2	3/2	3	1	1/2	1/2	1		0	60	C4	4	7
1	1	2	2	2.0	1/2	1/2	3/2	5	2	1/2	1/2	1		0	60	C4	4	16
1	1	2	2	2.0	1/2	1/2	3/2	6	1	1/2	1/2	1		0	60	C4	4	19
1	1	2	2	2.0	1/2	1/2	3/2	1	1	1/2	1/2	1		1	67	G4	4	1
1	1	2	2	2.0	1/2	1/2	3/2	5	1	1/2	1/2	1		1	67	G4	4	13
1	1	2	2	2.0	1/2	1/2	3/2	7	1	1/2	1/2	1		1	67	G4	4	25
1	1	4	4	2.0	1	1	3/2	4	1	1/2	1/2	1		-1	53	F3	3	11
1	1	4	4	2.0	1	1	3/2	6	2	1/2	1/2	1		-1	53	F3	3	23
1	1	4	4	2.0	1	1	3/2	8	1	1/2	1/2	1		-1	53	F3	3	29
1	1	4	4	2.0	1	1	3/2	3	1	1/2	1/2	1		0	60	C4	4	8
1	1	4	4	2.0	1	1	3/2	6	1	1/2	1/2	1		0	60	C4	4	20
1	1	4	4	2.0	1	1	3/2	2	1	1/2	1/2	1		-1	65	F4	4	5
1	1	4	4	2.0	1	1	3/2	5	2	1/2	1/2	1		-1	65	F4	4	17
1	1	4	4	2.0	1	1	3/2	1	1	1/2	1/2	1		3	69	A4	4	2
1	1	4	4	2.0	1	1	3/2	5	1	1/2	1/2	1		3	69	A4	4	14
1	1	4	4	2.0	1	1	3/2	7	1	1/2	1/2	1		3	69	A4	4	26
2	2	6	6	2.0	0	0	3/2	4	1	1/2	1/2	1		0	48	C3	3	39
2	2	6	6	2.0	0	0	3/2	8	1	1/2	1/2	1		0	48	C3	3	55
2	2	6	6	4.0	0	0	3/2	6	2	1	1	1		0	48	C3	3	50
2	2	6	6	2.0	0	0	3/2	3	1	1/2	1/2	1		0	60	C4	4	36
2	2	6	6	4.0	0	0	3/2	6	1	1	1	1		0	60	C4	4	48
2	2	6	6	2.0	0	0	3/2	2	1	1/2	1/2	1		-1	65	F4	4	33
2	2	6	6	2.0	0	0	3/2	5	2	1/2	1/2	1		-1	65	F4	4	45
2	2	6	6	2.0	0	0	3/2	1	1	1/2	1/2	1		3	69	A4	4	30
2	2	6	6	2.0	0	0	3/2	5	1	1/2	1/2	1		3	69	A4	4	42
2	2	6	6	2.0	0	0	3/2	7	1	1/2	1/2	1		3	69	A4	4	52
2	2	8	8	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		0	48	C3	3	40
2	2	8	8	2.0	1/2	1/2	3/2	8	1	1/2	1/2	1		0	48	C3	3	56
2	2	8	8	2.0	1/2	1/2	3/2	3	1	1/2	1/2	1		0	60	C4	4	37
2	2	8	8	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		4	64	E4	4	34
2	2	8	8	2.0	1/2	1/2	3/2	5	2	1/2	1/2	1		4	64	E4	4	46
2	2	8	8	2.0	1/2	1/2	3/2	1	1	1/2	1/2	1		1	67	G4	4	31
2	2	8	8	2.0	1/2	1/2	3/2	5	1	1/2	1/2	1		1	67	G4	4	43
2	2	8	8	2.0	1/2	1/2	3/2	7	1	1/2	1/2	1		1	67	G4	4	53
2	2	10	10	2.0	1	1	3/2	4	1	1/2	1/2	1		3	45	A2	2	41
2	2	10	10	2.0	1	1	3/2	6	2	1/2	1/2	1		3	45	A2	2	51
2	2	10	10	2.0	1	1	3/2	8	1	1/2	1/2	1		3	45	A2	2	57
2	2	10	10	2.0	1	1	3/2	3	1	1/2	1/2	1		0	60	C4	4	38
2	2	10	10	2.0	1	1	3/2	6	1	1/2	1/2	1		0	60	C4	4	49
2	2	10	10	2.0	1	1	3/2	2	1	1/2	1/2	1		-1	65	F4	4	35
2	2	10	10	2.0	1	1	3/2	5	2	1/2	1/2	1		-1	65	F4	4	47
2	2	10	10	2.0	1	1	3/2	1	1	1/2	1/2	1		0	72	C5	5	32
2	2	10	10	2.0	1	1	3/2	5	1	1/2	1/2	1		0	72	C5	5	44
2	2	10	10	2.0	1	1	3/2	7	1	1/2	1/2	1		0	72	C5	5	54
3	3	12	12	2.0	0	0	3/2	4	1	1/2	1/2	1		-2	46	Bb2	2	67
3	3	12	12	2.0	0	0	3/2	4	2	1/2	1/2	1		-2	46	Bb2	2	70
3	3	12	12	2.0	0	0	3/2	6	2	1/2	1/2	1		-2	46	Bb2	2	80
3	3	12	12	2.0	0	0	3/2	8	1	1/2	1/2	1		-2	46	Bb2	2	86
3	3	12	12	2.0	0	0	3/2	3	1	1/2	1/2	1		-2	58	Bb3	3	64
3	3	12	12	2.0	0	0	3/2	6	1	1/2	1/2	1		-2	58	Bb3	3	77
3	3	12	12	2.0	0	0	3/2	2	1	1/2	1/2	1		-1	65	F4	4	61
3	3	12	12	4.0	0	0	3/2	5	2	1	1	1		-1	65	F4	4	75
3	3	12	12	2.0	0	0	3/2	1	1	1/2	1/2	1		2	74	D5	5	58
3	3	12	12	2.0	0	0	3/2	5	1	1/2	1/2	1		2	74	D5	5	72
3	3	12	12	2.0	0	0	3/2	7	1	1/2	1/2	1		2	74	D5	5	83
3	3	14	14	4.0	1/2	1/2	3/2	4	2	1	1	1		-1	41	F2	2	71
3	3	14	14	4.0	1/2	1/2	3/2	8	1	1	1	1		-1	41	F2	2	87
3	3	14	14	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		-1	53	F3	3	68
3	3	14	14	2.0	1/2	1/2	3/2	6	2	1/2	1/2	1		-1	53	F3	3	81
3	3	14	14	2.0	1/2	1/2	3/2	3	1	1/2	1/2	1		3	57	A3	3	65
3	3	14	14	2.0	1/2	1/2	3/2	6	1	1/2	1/2	1		3	57	A3	3	78
3	3	14	14	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		-1	65	F4	4	62
3	3	14	14	2.0	1/2	1/2	3/2	1	1	1/2	1/2	1		0	72	C5	5	59
3	3	14	14	2.0	1/2	1/2	3/2	5	1	1/2	1/2	1		0	72	C5	5	73
3	3	14	14	2.0	1/2	1/2	3/2	7	1	1/2	1/2	1		0	72	C5	5	84
3	3	16	16	2.0	1	1	3/2	4	1	1/2	1/2	1		-1	53	F3	3	69
3	3	16	16	2.0	1	1	3/2	6	2	1/2	1/2	1		-1	53	F3	3	82
3	3	16	16	2.0	1	1	3/2	3	1	1/2	1/2	1		3	57	A3	3	66
3	3	16	16	2.0	1	1	3/2	6	1	1/2	1/2	1		3	57	A3	3	79
3	3	16	16	2.0	1	1	3/2	2	1	1/2	1/2	1	1	-1	65	F4	4	63
3	3	16	16	2.0	1	1	3/2	5	2	1/2	1/2	1	1	-1	65	F4	4	76
3	3	16	16	2.0	1	1	3/2	1	1	1/2	1/2	1		2	74	D5	5	60
3	3	16	16	2.0	1	1	3/2	5	1	1/2	1/2	1		2	74	D5	5	74
3	3	16	16	2.0	1	1	3/2	7	1	1/2	1/2	1		2	74	D5	5	85
4	4	18	18	2.0	0	0	3/2	4	2	1/2	1/2	1		1	43	G2	2	100
4	4	18	18	2.0	0	0	3/2	8	1	1/2	1/2	1		1	43	G2	2	118
4	4	18	18	2.0	0	0	3/2	4	1	1/2	1/2	1		1	55	G3	3	97
4	4	18	18	2.0	0	0	3/2	6	2	1/2	1/2	1		1	55	G3	3	112
4	4	18	18	2.0	0	0	3/2	3	1	1/2	1/2	1		2	62	D4	4	94
4	4	18	18	2.0	0	0	3/2	6	1	1/2	1/2	1		2	62	D4	4	109
4	4	18	18	2.0	0	0	3/2	2	1	1/2	1/2	1	-1	-1	65	F4	4	91
4	4	18	18	2.0	0	0	3/2	5	2	1/2	1/2	1	-1	-1	65	F4	4	106
4	4	18	18	2.0	0	0	3/2	1	1	1/2	1/2	1		0	72	C5	5	88
4	4	18	18	2.0	0	0	3/2	5	1	1/2	1/2	1		0	72	C5	5	103
4	4	18	18	2.0	0	0	3/2	7	1	1/2	1/2	1		0	72	C5	5	115
4	4	20	20	2.0	1/2	1/2	3/2	4	2	1/2	1/2	1		0	48	C3	3	101
4	4	20	20	2.0	1/2	1/2	3/2	6	2	1/2	1/2	1		0	48	C3	3	113
4	4	20	20	2.0	1/2	1/2	3/2	8	1	1/2	1/2	1		0	48	C3	3	119
