mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	3/2	4	1	1/2	1/2	1		1	55	G3	3	9
1	1	0	0	4.0	0	0	3/2	6	2	1	1	1		1	55	G3	3	20
1	1	0	0	4.0	0	0	3/2	8	1	1	1	1		1	55	G3	3	25
1	1	0	0	2.0	0	0	3/2	3	1	1/2	1/2	1		5	59	B3	3	6
1	1	0	0	4.0	0	0	3/2	6	1	1	1	1		5	59	B3	3	18
1	1	0	0	2.0	0	0	3/2	2	1	1/2	1/2	1		2	62	D4	4	3
1	1	0	0	4.0	0	0	3/2	5	2	1	1	1		2	62	D4	4	15
1	1	0	0	2.0	0	0	3/2	1	1	1/2	1/2	1		1	67	G4	4	0
1	1	0	0	2.0	0	0	3/2	5	1	1/2	1/2	1		1	67	G4	4	12
1	1	0	0	2.0	0	0	3/2	7	1	1/2	1/2	1		1	67	G4	4	22
1	1	2	2	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		1	55	G3	3	10
1	1	2	2	2.0	1/2	1/2	3/2	3	1	1/2	1/2	1		5	59	B3	3	7
1	1	2	2	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		2	62	D4	4	4
1	1	2	2	2.0	1/2	1/2	3/2	1	1	1/2	1/2	1		1	67	G4	4	1
1	1	2	2	2.0	1/2	1/2	3/2	5	1	1/2	1/2	1		1	67	G4	4	13
1	1	2	2	2.0	1/2	1/2	3/2	7	1	1/2	1/2	1		1	67	G4	4	23
1	1	4	4	2.0	1	1	3/2	4	1	1/2	1/2	1		6	54	F#3	3	11
1	1	4	4	2.0	1	1	3/2	6	2	1/2	1/2	1		6	54	F#3	3	21
1	1	4	4	2.0	1	1	3/2	8	1	1/2	1/2	1		6	54	F#3	3	26
1	1	4	4	2.0	1	1	3/2	3	1	1/2	1/2	1		3	57	A3	3	8
1	1	4	4	2.0	1	1	3/2	6	1	1/2	1/2	1		3	57	A3	3	19
1	1	4	4	2.0	1	1	3/2	2	1	1/2	1/2	1		2	62	D4	4	5
1	1	4	4	2.0	1	1	3/2	5	2	1/2	1/2	1		2	62	D4	4	16
1	1	4	4	2.0	1	1	3/2	5	3	1/2	1/2	1		3	69	A4	4	17
1	1	4	4	2.0	1	1	3/2	1	1	1/2	1/2	1		2	74	D5	5	2
1	1	4	4	2.0	1	1	3/2	5	1	1/2	1/2	1		2	74	D5	5	14
1	1	4	4	2.0	1	1	3/2	7	1	1/2	1/2	1		2	74	D5	5	24
2	2	6	6	2.0	0	0	3/2	3	1	1/2	1/2	1		1	55	G3	3	33
2	2	6	6	2.0	0	0	3/2	4	1	1/2	1/2	1		1	55	G3	3	36
2	2	6	6	4.0	0	0	3/2	6	1	1	1	1		1	55	G3	3	44
2	2	6	6	4.0	0	0	3/2	6	2	1	1	1		1	55	G3	3	46
2	2	6	6	4.0	0	0	3/2	8	1	1	1	1		1	55	G3	3	51
2	2	6	6	2.0	0	0	3/2	2	1	1/2	1/2	1		2	62	D4	4	30
2	2	6	6	4.0	0	0	3/2	5	2	1	1	1		2	62	D4	4	42
2	2	6	6	3.0	0	0	3/2	1	1	3/4	1/2	3/2		5	71	B4	4	27
2	2	6	6	3.0	0	0	3/2	5	1	3/4	1/2	3/2		5	71	B4	4	39
