mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	4	1	1/2		1/2	1		3	45	A2	2	6
1	1	0	0	4.0	0	0	4/4	6	1	1		1	1		3	45	A2	2	12
1	1	0	0	4.0	0	0	4/4	10	1	1		1	1		3	45	A2	2	15
1	1	0	0	2.0	0	0	4/4	3	1	1/2		1/2	1		0	60	C4	4	4
1	1	0	0	2.0	0	0	4/4	2	1	1/2		1/2	1		3	69	A4	4	2
1	1	0	0	4.0	0	0	4/4	5	2	1		1	1		3	69	A4	4	10
1	1	0	0	4.0	0	0	4/4	5	3	1		1	1		0	72	C5	5	11
1	1	0	0	2.0	0	0	4/4	1	1	1/2		1/2	1		4	76	E5	5	0
1	1	0	0	2.0	0	0	4/4	5	1	1/2		1/2	1		4	76	E5	5	8
1	1	0	0	2.0	0	0	4/4	9	1	1/2		1/2	1		4	76	E5	5	13
1	1	2	2	2.0	1/2	1/2	4/4	4	1	1/2		1/2	1		3	45	A2	2	7
1	1	2	2	2.0	1/2	1/2	4/4	3	1	1/2		1/2	1		0	60	C4	4	5
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		3	69	A4	4	3
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		-1	77	F5	5	1
1	1	2	2	2.0	1/2	1/2	4/4	5	1	1/2		1/2	1		-1	77	F5	5	9
1	1	2	2	2.0	1/2	1/2	4/4	9	1	1/2		1/2	1		-1	77	F5	5	14
2	2	4	4	2.0	0	0	4/4	4	1	1/2		1/2	1		5	47	B2	2	22
2	2	4	4	2.0	0	0	4/4	6	1	1/2		1/2	1		5	47	B2	2	30
2	2	4	4	2.0	0	0	4/4	10	1	1/2		1/2	1		5	47	B2	2	34
2	2	4	4	2.0	0	0	4/4	3	1	1/2		1/2	1		2	62	D4	4	20
2	2	4	4	2.0	0	0	4/4	5	2	1/2		1/2	1		2	62	D4	4	26
2	2	4	4	2.0	0	0	4/4	2	1	1/2		1/2	1		8	68	G#4	4	18
2	2	4	4	2.0	0	0	4/4	5	3	1/2		1/2	1		8	68	G#4	4	28
2	2	4	4	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	16
2	2	4	4	2.0	0	0	4/4	5	1	1/2		1/2	1		2	74	D5	5	24
2	2	4	4	2.0	0	0	4/4	9	1	1/2		1/2	1		2	74	D5	5	32
2	2	6	6	2.0	1/2	1/2	4/4	4	1	1/2		1/2	1		0	48	C3	3	23
2	2	6	6	2.0	1/2	1/2	4/4	6	1	1/2		1/2	1		0	48	C3	3	31
2	2	6	6	2.0	1/2	1/2	4/4	10	1	1/2		1/2	1		0	48	C3	3	35
2	2	6	6	2.0	1/2	1/2	4/4	3	1	1/2		1/2	1		4	64	E4	4	21
2	2	6	6	2.0	1/2	1/2	4/4	5	2	1/2		1/2	1		4	64	E4	4	27
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1	1	3	69	A4	4	19
2	2	6	6	2.0	1/2	1/2	4/4	5	3	1/2		1/2	1	1	3	69	A4	4	29
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	17
2	2	6	6	2.0	1/2	1/2	4/4	5	1	1/2		1/2	1		0	72	C5	5	25
2	2	6	6	2.0	1/2	1/2	4/4	9	1	1/2		1/2	1		0	72	C5	5	33
3	3	8	8	2.0	0	0	4/4	4	1	1/2		1/2	1		2	50	D3	3	42
3	3	8	8	2.0	0	0	4/4	6	1	1/2		1/2	1		2	50	D3	3	50
3	3	8	8	2.0	0	0	4/4	10	1	1/2		1/2	1		2	50	D3	3	54
3	3	8	8	2.0	0	0	4/4	3	1	1/2		1/2	1		-1	65	F4	4	40
3	3	8	8	2.0	0	0	4/4	5	2	1/2		1/2	1		-1	65	F4	4	46
3	3	8	8	2.0	0	0	4/4	2	1	1/2		1/2	1	-1	3	69	A4	4	38
3	3	8	8	2.0	0	0	4/4	5	3	1/2		1/2	1	-1	3	69	A4	4	48
3	3	8	8	3.0	0	0	4/4	1	1	3/4		1/2	3/2		5	71	B4	4	36
3	3	8	8	3.0	0	0	4/4	5	1	3/4		1/2	3/2		5	71	B4	4	44
3	3	8	8	3.0	0	0	4/4	9	1	3/4		1/2	3/2		5	71	B4	4	52
3	3	10	10	2.0	1/2	1/2	4/4	4	1	1/2		1/2	1		4	52	E3	3	43
3	3	10	10	2.0	1/2	1/2	4/4	6	1	1/2		1/2	1		4	52	E3	3	51
3	3	10	10	2.0	1/2	1/2	4/4	10	1	1/2		1/2	1		4	52	E3	3	55
3	3	10	10	2.0	1/2	1/2	4/4	3	1	1/2		1/2	1		4	64	E4	4	41
3	3	10	10	2.0	1/2	1/2	4/4	5	2	1/2		1/2	1		4	64	E4	4	47
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		8	68	G#4	4	39
3	3	10	10	2.0	1/2	1/2	4/4	5	3	1/2		1/2	1		8	68	G#4	4	49
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4		1/4	1		2	74	D5	5	37
3	3	11	11	1.0	3/4	3/4	4/4	5	1	1/4		1/4	1		2	74	D5	5	45
3	3	11	11	1.0	3/4	3/4	4/4	9	1	1/4		1/4	1		2	74	D5	5	53
4	4	12	12	2.0	0	0	4/4	4	1	1/2		1/2	1		3	45	A2	2	64
4	4	12	12	2.0	0	0	4/4	6	1	1/2		1/2	1		3	45	A2	2	74
4	4	12	12	4.0	0	0	4/4	10	1	1		1	1		3	45	A2	2	80
4	4	12	12	2.0	0	0	4/4	3	1	1/2		1/2	1		4	64	E4	4	62
4	4	12	12	2.0	0	0	4/4	5	2	1/2		1/2	1		4	64	E4	4	70
4	4	12	12	2.0	0	0	4/4	2	1	1/2		1/2	1		3	69	A4	4	60
4	4	12	12	2.0	0	0	4/4	5	3	1/2		1/2	1		3	69	A4	4	72
4	4	12	12	0.5	0	0	4/4	1	1	1/8		1/8	1		0	72	C5	5	56
4	4	12	12	0.5	0	0	4/4	5	1	1/8		1/8	1		0	72	C5	5	66
4	4	12	12	0.5	0	0	4/4	9	1	1/8		1/8	1		0	72	C5	5	76
4	4	25/2	25/2	0.5	1/8	1/8	4/4	1	1	1/8		1/8	1		5	71	B4	4	57
4	4	25/2	25/2	0.5	1/8	1/8	4/4	5	1	1/8		1/8	1		5	71	B4	4	67
4	4	25/2	25/2	0.5	1/8	1/8	4/4	9	1	1/8		1/8	1		5	71	B4	4	77
4	4	13	13	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		3	69	A4	4	58
4	4	13	13	1.0	1/4	1/4	4/4	5	1	1/4		1/4	1		3	69	A4	4	68
4	4	13	13	1.0	1/4	1/4	4/4	9	1	1/4		1/4	1		3	69	A4	4	78
4	4	14	14	2.0	1/2	1/2	4/4	4	1	1/2		1/2	1		3	45	A2	2	65
4	4	14	14	2.0	1/2	1/2	4/4	6	1	1/2		1/2	1		3	45	A2	2	75
4	4	14	14	2.0	1/2	1/2	4/4	3	1	1/2		1/2	1		0	60	C4	4	63
4	4	14	14	2.0	1/2	1/2	4/4	5	2	1/2		1/2	1		0	60	C4	4	71
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	64	E4	4	61
4	4	14	14	2.0	1/2	1/2	4/4	5	3	1/2		1/2	1		4	64	E4	4	73
4	4	14	14	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		3	69	A4	4	59
4	4	14	14	2.0	1/2	1/2	4/4	5	1	1/2		1/2	1		3	69	A4	4	69
4	4	14	14	2.0	1/2	1/2	4/4	9	1	1/2		1/2	1		3	69	A4	4	79
5	5	16	16	2.0	0	0	4/4	4	1	1/2		1/2	1		6	54	F#3	3	87
5	5	16	16	2.0	0	0	4/4	6	1	1/2		1/2	1		6	54	F#3	3	95
5	5	16	16	2.0	0	0	4/4	10	1	1/2		1/2	1		6	54	F#3	3	99
5	5	16	16	2.0	0	0	4/4	3	1	1/2		1/2	1		2	62	D4	4	85
5	5	16	16	2.0	0	0	4/4	5	2	1/2		1/2	1		2	62	D4	4	91
5	5	16	16	2.0	0	0	4/4	2	1	1/2		1/2	1		3	69	A4	4	83
5	5	16	16	2.0	0	0	4/4	5	3	1/2		1/2	1		3	69	A4	4	93
5	5	16	16	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	81
5	5	16	16	2.0	0	0	4/4	5	1	1/2		1/2	1		0	72	C5	5	89
5	5	16	16	2.0	0	0	4/4	9	1	1/2		1/2	1		0	72	C5	5	97
5	5	18	18	2.0	1/2	1/2	4/4	4	1	1/2		1/2	1		-1	53	F3	3	88
5	5	18	18	2.0	1/2	1/2	4/4	6	1	1/2		1/2	1		-1	53	F3	3	96
5	5	18	18	2.0	1/2	1/2	4/4	10	1	1/2		1/2	1		-1	53	F3	3	100
