mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	4	1	1/2	1/2	1		1	55	G3	3	6
1	1	0	0	2.0	0	0	4/4	6	2	1/2	1/2	1		1	55	G3	3	14
1	1	0	0	2.0	0	0	4/4	8	1	1/2	1/2	1		1	55	G3	3	18
1	1	0	0	2.0	0	0	4/4	3	1	1/2	1/2	1		2	62	D4	4	4
1	1	0	0	2.0	0	0	4/4	6	1	1/2	1/2	1		2	62	D4	4	12
1	1	0	0	2.0	0	0	4/4	2	1	1/2	1/2	1		1	67	G4	4	2
1	1	0	0	2.0	0	0	4/4	5	2	1/2	1/2	1		1	67	G4	4	10
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	0
1	1	0	0	2.0	0	0	4/4	5	1	1/2	1/2	1		5	71	B4	4	8
1	1	0	0	2.0	0	0	4/4	7	1	1/2	1/2	1		5	71	B4	4	16
1	1	2	2	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		4	52	E3	3	7
1	1	2	2	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		4	52	E3	3	15
1	1	2	2	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		4	52	E3	3	19
1	1	2	2	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		0	60	C4	4	13
1	1	2	2	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		4	64	E4	4	5
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	67	G4	4	3
1	1	2	2	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		1	67	G4	4	11
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	72	C5	5	1
1	1	2	2	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		0	72	C5	5	9
1	1	2	2	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		0	72	C5	5	17
2	2	4	4	2.0	0	0	4/4	4	1	1/2	1/2	1		5	47	B2	2	26
2	2	4	4	2.0	0	0	4/4	6	2	1/2	1/2	1		5	47	B2	2	34
2	2	4	4	2.0	0	0	4/4	8	1	1/2	1/2	1		5	47	B2	2	38
2	2	4	4	2.0	0	0	4/4	6	1	1/2	1/2	1		1	55	G3	3	32
2	2	4	4	2.0	0	0	4/4	3	1	1/2	1/2	1		2	62	D4	4	24
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1		1	67	G4	4	22
2	2	4	4	2.0	0	0	4/4	5	2	1/2	1/2	1		1	67	G4	4	30
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		2	74	D5	5	20
2	2	4	4	2.0	0	0	4/4	5	1	1/2	1/2	1		2	74	D5	5	28
2	2	4	4	2.0	0	0	4/4	7	1	1/2	1/2	1		2	74	D5	5	36
2	2	6	6	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		1	43	G2	2	27
2	2	6	6	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		1	43	G2	2	35
2	2	6	6	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		1	43	G2	2	39
2	2	6	6	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1	1	1	55	G3	3	33
2	2	6	6	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		5	59	B3	3	25
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	1	67	G4	4	23
2	2	6	6	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		5	71	B4	4	31
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		2	74	D5	5	21
2	2	6	6	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		2	74	D5	5	29
2	2	6	6	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		2	74	D5	5	37
3	3	8	8	2.0	0	0	4/4	4	1	1/2	1/2	1		3	45	A2	2	47
3	3	8	8	2.0	0	0	4/4	6	2	1/2	1/2	1		3	45	A2	2	57
3	3	8	8	2.0	0	0	4/4	8	1	1/2	1/2	1		3	45	A2	2	62
3	3	8	8	1.0	0	0	4/4	6	1	1/4	1/4	1	-1	1	55	G3	3	54
3	3	8	8	2.0	0	0	4/4	3	1	1/2	1/2	1		0	60	C4	4	45
3	3	8	8	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	1	67	G4	4	42
3	3	8	8	2.0	0	0	4/4	5	2	1/2	1/2	1		3	69	A4	4	52
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		0	72	C5	5	40
3	3	8	8	2.0	0	0	4/4	5	1	1/2	1/2	1		0	72	C5	5	50
3	3	8	8	2.0	0	0	4/4	7	1	1/2	1/2	1		0	72	C5	5	60
3	3	9	9	1.0	1/4	1/4	4/4	6	1	1/4	1/4	1		6	54	F#3	3	55
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		6	66	F#4	4	43
3	3	10	10	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		5	47	B2	2	48
3	3	10	10	1.0	1/2	1/2	4/4	6	2	1/4	1/4	1		5	47	B2	2	58
3	3	10	10	1.0	1/2	1/2	4/4	8	1	1/4	1/4	1		5	47	B2	2	63
3	3	10	10	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1	1	1	55	G3	3	56
3	3	10	10	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	62	D4	4	46
3	3	10	10	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		2	62	D4	4	53
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	1	67	G4	4	44
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	41
3	3	10	10	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		5	71	B4	4	51
3	3	10	10	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		5	71	B4	4	61
3	3	11	11	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		0	48	C3	3	49
3	3	11	11	1.0	3/4	3/4	4/4	6	2	1/4	1/4	1		0	48	C3	3	59
3	3	11	11	1.0	3/4	3/4	4/4	8	1	1/4	1/4	1		0	48	C3	3	64
4	4	12	12	2.0	0	0	4/4	4	1	1/2	1/2	1		2	50	D3	3	71
4	4	12	12	4.0	0	0	4/4	6	2	1	1	1		2	50	D3	3	78
4	4	12	12	4.0	0	0	4/4	8	1	1	1	1		2	50	D3	3	81
4	4	12	12	2.0	0	0	4/4	6	1	1/2	1/2	1	-1	1	55	G3	3	76
4	4	12	12	2.0	0	0	4/4	3	1	1/2	1/2	1		2	62	D4	4	69
4	4	12	12	4.0	0	0	4/4	5	2	1	1	1		2	62	D4	4	75
4	4	12	12	2.0	0	0	4/4	2	1	1/2	1/2	1	-1	1	67	G4	4	67
4	4	12	12	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	65
4	4	12	12	2.0	0	0	4/4	5	1	1/2	1/2	1		3	69	A4	4	73
4	4	12	12	2.0	0	0	4/4	7	1	1/2	1/2	1		3	69	A4	4	79
4	4	14	14	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		2	50	D3	3	72
4	4	14	14	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		6	54	F#3	3	77
4	4	14	14	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	62	D4	4	70
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	66	F#4	4	68
4	4	14	14	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	66
4	4	14	14	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		3	69	A4	4	74
4	4	14	14	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		3	69	A4	4	80
5	5	16	16	2.0	0	0	4/4	4	1	1/2	1/2	1		9	51	D#3	3	88
5	5	16	16	2.0	0	0	4/4	6	2	1/2	1/2	1		9	51	D#3	3	96
5	5	16	16	2.0	0	0	4/4	8	1	1/2	1/2	1		9	51	D#3	3	100
5	5	16	16	2.0	0	0	4/4	3	1	1/2	1/2	1		3	57	A3	3	86
5	5	16	16	2.0	0	0	4/4	6	1	1/2	1/2	1		3	57	A3	3	94
5	5	16	16	2.0	0	0	4/4	2	1	1/2	1/2	1		6	66	F#4	4	84
5	5	16	16	2.0	0	0	4/4	5	2	1/2	1/2	1		6	66	F#4	4	92
5	5	16	16	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	82
5	5	16	16	2.0	0	0	4/4	5	1	1/2	1/2	1		5	71	B4	4	90
5	5	16	16	2.0	0	0	4/4	7	1	1/2	1/2	1		5	71	B4	4	98
5	5	18	18	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		4	52	E3	3	89
5	5	18	18	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		4	52	E3	3	97
5	5	18	18	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		4	52	E3	3	101
5	5	18	18	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		1	55	G3	3	87
5	5	18	18	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		1	55	G3	3	95
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	67	G4	4	85
5	5	18	18	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		1	67	G4	4	93
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	72	C5	5	83
5	5	18	18	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		0	72	C5	5	91
5	5	18	18	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		0	72	C5	5	99
6	6	20	20	2.0	0	0	4/4	4	1	1/2	1/2	1		6	54	F#3	3	109
6	6	20	20	2.0	0	0	4/4	6	2	1/2	1/2	1		6	54	F#3	3	117
6	6	20	20	2.0	0	0	4/4	8	1	1/2	1/2	1		6	54	F#3	3	122
6	6	20	20	2.0	0	0	4/4	3	1	1/2	1/2	1		3	57	A3	3	107
6	6	20	20	2.0	0	0	4/4	6	1	1/2	1/2	1		3	57	A3	3	115
6	6	20	20	2.0	0	0	4/4	2	1	1/2	1/2	1		2	62	D4	4	105
6	6	20	20	4.0	0	0	4/4	5	2	1	1	1		2	62	D4	4	114
6	6	20	20	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	102
6	6	20	20	1.0	0	0	4/4	5	1	1/4	1/4	1		2	74	D5	5	111
6	6	20	20	1.0	0	0	4/4	7	1	1/4	1/4	1		2	74	D5	5	119
6	6	21	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	103
6	6	21	21	1.0	1/4	1/4	4/4	5	1	1/4	1/4	1		0	72	C5	5	112
6	6	21	21	1.0	1/4	1/4	4/4	7	1	1/4	1/4	1		0	72	C5	5	120
6	6	22	22	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1	1	1	55	G3	3	108
6	6	22	22	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		1	55	G3	3	110
6	6	22	22	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1	1	1	55	G3	3	116
6	6	22	22	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		1	55	G3	3	118
6	6	22	22	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		1	55	G3	3	123
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	106
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	104
6	6	22	22	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		5	71	B4	4	113
6	6	22	22	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		5	71	B4	4	121
7	7	24	24	2.0	0	0	4/4	4	1	1/2	1/2	1		0	48	C3	3	131
