mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	4.0	0	0	3/2	4	1	1	1	1		1	43	G2	2	6
1	1	0	0	4.0	0	0	3/2	6	1	1	1	1		1	43	G2	2	14
1	1	0	0	4.0	0	0	3/2	8	1	1	1	1		1	43	G2	2	18
1	1	0	0	4.0	0	0	3/2	3	1	1	1	1		-2	58	Bb3	3	4
1	1	0	0	4.0	0	0	3/2	5	2	1	1	1		-2	58	Bb3	3	10
1	1	0	0	4.0	0	0	3/2	2	1	1	1	1		2	62	D4	4	2
1	1	0	0	4.0	0	0	3/2	5	3	1	1	1		2	62	D4	4	12
1	1	0	0	4.0	0	0	3/2	1	1	1	1	1		1	67	G4	4	0
1	1	0	0	4.0	0	0	3/2	5	1	1	1	1		1	67	G4	4	8
1	1	0	0	4.0	0	0	3/2	7	1	1	1	1		1	67	G4	4	16
1	1	4	4	2.0	1	1	3/2	3	1	1/2	1/2	1	1	1	55	G3	3	5
1	1	4	4	2.0	1	1	3/2	4	1	1/2	1/2	1		1	55	G3	3	7
1	1	4	4	2.0	1	1	3/2	5	2	1/2	1/2	1	1	1	55	G3	3	11
1	1	4	4	2.0	1	1	3/2	6	1	1/2	1/2	1		1	55	G3	3	15
1	1	4	4	2.0	1	1	3/2	8	1	1/2	1/2	1		1	55	G3	3	19
1	1	4	4	2.0	1	1	3/2	2	1	1/2	1/2	1		2	62	D4	4	3
1	1	4	4	2.0	1	1	3/2	5	3	1/2	1/2	1		2	62	D4	4	13
1	1	4	4	2.0	1	1	3/2	1	1	1/2	1/2	1		-2	70	Bb4	4	1
1	1	4	4	2.0	1	1	3/2	5	1	1/2	1/2	1		-2	70	Bb4	4	9
1	1	4	4	2.0	1	1	3/2	7	1	1/2	1/2	1		-2	70	Bb4	4	17
2	2	6	6	4.0	0	0	3/2	4	1	1	1	1		2	50	D3	3	28
2	2	6	6	4.0	0	0	3/2	6	1	1	1	1		2	50	D3	3	38
2	2	6	6	4.0	0	0	3/2	8	1	1	1	1		2	50	D3	3	42
2	2	6	6	2.0	0	0	3/2	3	1	1/2	1/2	1	-1	1	55	G3	3	25
2	2	6	6	2.0	0	0	3/2	5	2	1/2	1/2	1	-1	1	55	G3	3	32
2	2	6	6	4.0	0	0	3/2	2	1	1	1	1	1	2	62	D4	4	22
2	2	6	6	4.0	0	0	3/2	5	3	1	1	1	1	2	62	D4	4	35
2	2	6	6	4.0	0	0	3/2	1	1	1	1	1		3	69	A4	4	20
2	2	6	6	4.0	0	0	3/2	5	1	1	1	1		3	69	A4	4	30
2	2	6	6	4.0	0	0	3/2	7	1	1	1	1		3	69	A4	4	40
2	2	8	8	2.0	1/2	1/2	3/2	3	1	1/2	1/2	1		6	54	F#3	3	26
2	2	8	8	2.0	1/2	1/2	3/2	5	2	1/2	1/2	1		6	54	F#3	3	33
2	2	10	10	2.0	1	1	3/2	4	1	1/2	1/2	1		-3	51	Eb3	3	29
2	2	10	10	2.0	1	1	3/2	6	1	1/2	1/2	1		-3	51	Eb3	3	39
2	2	10	10	2.0	1	1	3/2	8	1	1/2	1/2	1		-3	51	Eb3	3	43
2	2	10	10	2.0	1	1	3/2	3	1	1/2	1/2	1		1	55	G3	3	27
2	2	10	10	2.0	1	1	3/2	5	2	1/2	1/2	1		1	55	G3	3	34
2	2	10	10	1.0	1	1	3/2	2	1	1/4	1/4	1	-1	2	62	D4	4	23
2	2	10	10	1.0	1	1	3/2	5	3	1/4	1/4	1	-1	2	62	D4	4	36
2	2	10	10	2.0	1	1	3/2	1	1	1/2	1/2	1		1	67	G4	4	21
2	2	10	10	2.0	1	1	3/2	5	1	1/2	1/2	1		1	67	G4	4	31
2	2	10	10	2.0	1	1	3/2	7	1	1/2	1/2	1		1	67	G4	4	41
2	2	11	11	1.0	5/4	5/4	3/2	2	1	1/4	1/4	1		7	61	C#4	4	24
2	2	11	11	1.0	5/4	5/4	3/2	5	3	1/4	1/4	1		7	61	C#4	4	37
3	3	12	12	2.0	0	0	3/2	4	1	1/2	1/2	1		2	50	D3	3	50
3	3	12	12	2.0	0	0	3/2	6	1	1/2	1/2	1		2	50	D3	3	60
3	3	12	12	2.0	0	0	3/2	8	1	1/2	1/2	1		2	50	D3	3	66
3	3	12	12	4.0	0	0	3/2	3	1	1	1	1		3	57	A3	3	48
3	3	12	12	4.0	0	0	3/2	5	2	1	1	1		3	57	A3	3	56
3	3	12	12	4.0	0	0	3/2	2	1	1	1	1		2	62	D4	4	46
3	3	12	12	4.0	0	0	3/2	5	3	1	1	1		2	62	D4	4	58
3	3	12	12	4.0	0	0	3/2	1	1	1	1	1		6	66	F#4	4	44
3	3	12	12	4.0	0	0	3/2	5	1	1	1	1		6	66	F#4	4	54
3	3	12	12	4.0	0	0	3/2	7	1	1	1	1		6	66	F#4	4	64
3	3	14	14	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		0	48	C3	3	51
3	3	14	14	2.0	1/2	1/2	3/2	6	1	1/2	1/2	1		0	48	C3	3	61
3	3	14	14	2.0	1/2	1/2	3/2	8	1	1/2	1/2	1		0	48	C3	3	67
3	3	16	16	1.0	1	1	3/2	4	1	1/4	1/4	1		-2	46	Bb2	2	52
3	3	16	16	1.0	1	1	3/2	6	1	1/4	1/4	1		-2	46	Bb2	2	62
3	3	16	16	1.0	1	1	3/2	8	1	1/4	1/4	1		-2	46	Bb2	2	68
3	3	16	16	2.0	1	1	3/2	3	1	1/2	1/2	1		1	55	G3	3	49
3	3	16	16	2.0	1	1	3/2	5	2	1/2	1/2	1		1	55	G3	3	57
3	3	16	16	2.0	1	1	3/2	2	1	1/2	1/2	1		2	62	D4	4	47
3	3	16	16	2.0	1	1	3/2	5	3	1/2	1/2	1		2	62	D4	4	59
3	3	16	16	2.0	1	1	3/2	1	1	1/2	1/2	1		1	67	G4	4	45
3	3	16	16	2.0	1	1	3/2	5	1	1/2	1/2	1		1	67	G4	4	55
3	3	16	16	2.0	1	1	3/2	7	1	1/2	1/2	1		1	67	G4	4	65
3	3	17	17	1.0	5/4	5/4	3/2	4	1	1/4	1/4	1		1	43	G2	2	53
3	3	17	17	1.0	5/4	5/4	3/2	6	1	1/4	1/4	1		1	43	G2	2	63
3	3	17	17	1.0	5/4	5/4	3/2	8	1	1/4	1/4	1		1	43	G2	2	69
4	4	18	18	6.0	0	0	3/2	4	1	3/2	1	3/2		2	50	D3	3	73
4	4	18	18	6.0	0	0	3/2	6	1	3/2	1	3/2		2	50	D3	3	77
4	4	18	18	6.0	0	0	3/2	8	1	3/2	1	3/2		2	50	D3	3	79
4	4	18	18	6.0	0	0	3/2	3	1	3/2	1	3/2		6	54	F#3	3	72
4	4	18	18	6.0	0	0	3/2	5	2	3/2	1	3/2		6	54	F#3	3	75
4	4	18	18	6.0	0	0	3/2	2	1	3/2	1	3/2		2	62	D4	4	71
4	4	18	18	6.0	0	0	3/2	5	3	3/2	1	3/2		2	62	D4	4	76
4	4	18	18	6.0	0	0	3/2	1	1	3/2	1	3/2		3	69	A4	4	70
4	4	18	18	6.0	0	0	3/2	5	1	3/2	1	3/2		3	69	A4	4	74
4	4	18	18	6.0	0	0	3/2	7	1	3/2	1	3/2		3	69	A4	4	78
5	5	24	24	4.0	0	0	3/2	4	1	1	1	1		0	48	C3	3	86
5	5	24	24	4.0	0	0	3/2	6	1	1	1	1		0	48	C3	3	94
5	5	24	24	4.0	0	0	3/2	8	1	1	1	1		0	48	C3	3	98
5	5	24	24	4.0	0	0	3/2	3	1	1	1	1		6	54	F#3	3	84
5	5	24	24	4.0	0	0	3/2	2	1	1	1	1		2	62	D4	4	82
5	5	24	24	4.0	0	0	3/2	5	2	1	1	1		2	62	D4	4	90
5	5	24	24	4.0	0	0	3/2	5	3	1	1	1		6	66	F#4	4	92
5	5	24	24	4.0	0	0	3/2	1	1	1	1	1		3	69	A4	4	80
5	5	24	24	4.0	0	0	3/2	5	1	1	1	1		3	69	A4	4	88
5	5	24	24	4.0	0	0	3/2	7	1	1	1	1		3	69	A4	4	96
5	5	28	28	2.0	1	1	3/2	4	1	1/2	1/2	1		-2	46	Bb2	2	87
5	5	28	28	2.0	1	1	3/2	6	1	1/2	1/2	1		-2	46	Bb2	2	95
5	5	28	28	2.0	1	1	3/2	8	1	1/2	1/2	1		-2	46	Bb2	2	99
5	5	28	28	2.0	1	1	3/2	3	1	1/2	1/2	1	1	1	55	G3	3	85
5	5	28	28	2.0	1	1	3/2	2	1	1/2	1/2	1		2	62	D4	4	83
5	5	28	28	2.0	1	1	3/2	5	2	1/2	1/2	1		2	62	D4	4	91
5	5	28	28	2.0	1	1	3/2	5	3	1/2	1/2	1	1	1	67	G4	4	93
5	5	28	28	2.0	1	1	3/2	1	1	1/2	1/2	1		-2	70	Bb4	4	81
5	5	28	28	2.0	1	1	3/2	5	1	1/2	1/2	1		-2	70	Bb4	4	89
5	5	28	28	2.0	1	1	3/2	7	1	1/2	1/2	1		-2	70	Bb4	4	97
6	6	30	30	2.0	0	0	3/2	4	1	1/2	1/2	1		3	45	A2	2	108
6	6	30	30	2.0	0	0	3/2	6	1	1/2	1/2	1		3	45	A2	2	120
6	6	30	30	2.0	0	0	3/2	8	1	1/2	1/2	1		3	45	A2	2	125
6	6	30	30	2.0	0	0	3/2	3	1	1/2	1/2	1	-1	1	55	G3	3	105
6	6	30	30	2.0	0	0	3/2	2	1	1/2	1/2	1		-3	63	Eb4	4	102
6	6	30	30	2.0	0	0	3/2	5	2	1/2	1/2	1		-3	63	Eb4	4	114
6	6	30	30	2.0	0	0	3/2	5	3	1/2	1/2	1	-1	1	67	G4	4	117
6	6	30	30	4.0	0	0	3/2	1	1	1	1	1		0	72	C5	5	100
6	6	30	30	4.0	0	0	3/2	5	1	1	1	1		0	72	C5	5	112
6	6	30	30	4.0	0	0	3/2	7	1	1	1	1		0	72	C5	5	123
6	6	32	32	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		2	50	D3	3	109
6	6	32	32	2.0	1/2	1/2	3/2	6	1	1/2	1/2	1		2	50	D3	3	121
6	6	32	32	2.0	1/2	1/2	3/2	8	1	1/2	1/2	1		2	50	D3	3	126
6	6	32	32	2.0	1/2	1/2	3/2	3	1	1/2	1/2	1		6	54	F#3	3	106
6	6	32	32	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		2	62	D4	4	103
6	6	32	32	2.0	1/2	1/2	3/2	5	2	1/2	1/2	1		2	62	D4	4	115
6	6	32	32	2.0	1/2	1/2	3/2	5	3	1/2	1/2	1		6	66	F#4	4	118
6	6	34	34	2.0	1	1	3/2	4	1	1/2	1/2	1		6	42	F#2	2	110
6	6	34	34	2.0	1	1	3/2	6	1	1/2	1/2	1		6	42	F#2	2	122
6	6	34	34	2.0	1	1	3/2	8	1	1/2	1/2	1		6	42	F#2	2	127
6	6	34	34	2.0	1	1	3/2	4	2	1/2	1/2	1		6	54	F#3	3	111
6	6	34	34	2.0	1	1	3/2	3	1	1/2	1/2	1		3	57	A3	3	107
6	6	34	34	2.0	1	1	3/2	2	1	1/2	1/2	1		2	62	D4	4	104
6	6	34	34	2.0	1	1	3/2	5	2	1/2	1/2	1		2	62	D4	4	116
6	6	34	34	2.0	1	1	3/2	5	3	1/2	1/2	1		3	69	A4	4	119
6	6	34	34	2.0	1	1	3/2	1	1	1/2	1/2	1		2	74	D5	5	101
6	6	34	34	2.0	1	1	3/2	5	1	1/2	1/2	1		2	74	D5	5	113
6	6	34	34	2.0	1	1	3/2	7	1	1/2	1/2	1		2	74	D5	5	124
7	7	36	36	2.0	0	0	3/2	4	1	1/2	1/2	1		1	43	G2	2	136
7	7	36	36	2.0	0	0	3/2	6	1	1/2	1/2	1		1	43	G2	2	149
7	7	36	36	2.0	0	0	3/2	8	1	1/2	1/2	1		1	43	G2	2	154
7	7	36	36	2.0	0	0	3/2	4	2	1/2	1/2	1		1	55	G3	3	139
7	7	36	36	4.0	0	0	3/2	3	1	1	1	1		1	55	G3	3	133
7	7	36	36	4.0	0	0	3/2	5	2	1	1	1		1	55	G3	3	142
7	7	36	36	2.0	0	0	3/2	2	1	1/2	1/2	1		2	62	D4	4	130
7	7	36	36	2.0	0	0	3/2	5	4	1/2	1/2	1		2	62	D4	4	148
7	7	36	36	2.0	0	0	3/2	5	3	1/2	1/2	1		1	67	G4	4	145
7	7	36	36	2.0	0	0	3/2	1	1	1/2	1/2	1		-2	70	Bb4	4	128
7	7	36	36	2.0	0	0	3/2	5	1	1/2	1/2	1		-2	70	Bb4	4	140
7	7	36	36	2.0	0	0	3/2	7	1	1/2	1/2	1		-2	70	Bb4	4	152
7	7	38	38	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		0	48	C3	3	137
7	7	38	38	2.0	1/2	1/2	3/2	6	1	1/2	1/2	1		0	48	C3	3	150
7	7	38	38	2.0	1/2	1/2	3/2	8	1	1/2	1/2	1		0	48	C3	3	155
7	7	38	38	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		-3	63	Eb4	4	131
7	7	38	38	2.0	1/2	1/2	3/2	5	3	1/2	1/2	1		-3	63	Eb4	4	146
7	7	38	38	4.0	1/2	1/2	3/2	1	1	1	1	1		3	69	A4	4	129
7	7	38	38	4.0	1/2	1/2	3/2	5	1	1	1	1		3	69	A4	4	141
7	7	38	38	4.0	1/2	1/2	3/2	7	1	1	1	1		3	69	A4	4	153
7	7	40	40	2.0	1	1	3/2	4	1	1/2	1/2	1		2	50	D3	3	138
7	7	40	40	2.0	1	1	3/2	6	1	1/2	1/2	1		2	50	D3	3	151
7	7	40	40	2.0	1	1	3/2	8	1	1/2	1/2	1		2	50	D3	3	156
7	7	40	40	1.0	1	1	3/2	3	1	1/4	1/4	1		6	54	F#3	3	134
7	7	40	40	1.0	1	1	3/2	5	2	1/4	1/4	1		6	54	F#3	3	143
7	7	40	40	2.0	1	1	3/2	2	1	1/2	1/2	1		2	62	D4	4	132
7	7	40	40	2.0	1	1	3/2	5	3	1/2	1/2	1		2	62	D4	4	147
7	7	41	41	1.0	5/4	5/4	3/2	3	1	1/4	1/4	1		0	60	C4	4	135
