mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	4	1	1/2	1/2	1		3	45	A2	2	7
1	1	0	0	2.0	0	0	4/4	6	2	1/2	1/2	1		3	45	A2	2	16
1	1	0	0	2.0	0	0	4/4	8	1	1/2	1/2	1		3	45	A2	2	21
1	1	0	0	2.0	0	0	4/4	3	1	1/2	1/2	1		7	61	C#4	4	5
1	1	0	0	2.0	0	0	4/4	6	1	1/2	1/2	1		7	61	C#4	4	14
1	1	0	0	2.0	0	0	4/4	2	1	1/2	1/2	1		4	64	E4	4	3
1	1	0	0	2.0	0	0	4/4	5	2	1/2	1/2	1		4	64	E4	4	12
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	0
1	1	0	0	2.0	0	0	4/4	5	1	1/2	1/2	1		3	69	A4	4	9
1	1	0	0	2.0	0	0	4/4	7	1	1/2	1/2	1		3	69	A4	4	18
1	1	2	2	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		5	47	B2	2	8
1	1	2	2	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		5	47	B2	2	17
1	1	2	2	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		5	47	B2	2	22
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	4
1	1	2	2	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	62	D4	4	6
1	1	2	2	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		2	62	D4	4	13
1	1	2	2	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		2	62	D4	4	15
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		8	68	G#4	4	1
1	1	2	2	1.0	1/2	1/2	4/4	5	1	1/4	1/4	1		8	68	G#4	4	10
1	1	2	2	1.0	1/2	1/2	4/4	7	1	1/4	1/4	1		8	68	G#4	4	19
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	2
1	1	3	3	1.0	3/4	3/4	4/4	5	1	1/4	1/4	1		6	66	F#4	4	11
1	1	3	3	1.0	3/4	3/4	4/4	7	1	1/4	1/4	1		6	66	F#4	4	20
2	2	4	4	2.0	0	0	4/4	4	1	1/2	1/2	1		7	49	C#3	3	29
2	2	4	4	2.0	0	0	4/4	6	2	1/2	1/2	1		7	49	C#3	3	37
2	2	4	4	2.0	0	0	4/4	8	1	1/2	1/2	1		7	49	C#3	3	41
2	2	4	4	2.0	0	0	4/4	3	1	1/2	1/2	1		3	57	A3	3	27
2	2	4	4	2.0	0	0	4/4	6	1	1/2	1/2	1		3	57	A3	3	35
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1		7	61	C#4	4	25
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4	23
2	2	4	4	2.0	0	0	4/4	5	1	1/2	1/2	1		4	64	E4	4	31
2	2	4	4	2.0	0	0	4/4	5	2	1/2	1/2	1		4	64	E4	4	33
