mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	4	1	1/2	1/2	1		4	52	E3	3	6
1	1	0	0	2.0	0	0	4/4	6	2	1/2	1/2	1		4	52	E3	3	14
1	1	0	0	2.0	0	0	4/4	8	1	1/2	1/2	1		4	52	E3	3	18
1	1	0	0	2.0	0	0	4/4	3	1	1/2	1/2	1		5	59	B3	3	4
1	1	0	0	2.0	0	0	4/4	2	1	1/2	1/2	1		8	68	G#4	4	2
1	1	0	0	2.0	0	0	4/4	6	1	1/2	1/2	1		8	68	G#4	4	12
1	1	0	0	2.0	0	0	4/4	5	2	1/2	1/2	1		5	71	B4	4	10
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		4	76	E5	5	0
1	1	0	0	2.0	0	0	4/4	5	1	1/2	1/2	1		4	76	E5	5	8
1	1	0	0	2.0	0	0	4/4	7	1	1/2	1/2	1		4	76	E5	5	16
1	1	2	2	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		2	50	D3	3	7
1	1	2	2	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		2	50	D3	3	15
1	1	2	2	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		2	50	D3	3	19
1	1	2	2	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		5	59	B3	3	5
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		8	68	G#4	4	3
1	1	2	2	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		8	68	G#4	4	13
1	1	2	2	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		5	71	B4	4	11
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	76	E5	5	1
1	1	2	2	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		4	76	E5	5	9
1	1	2	2	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		4	76	E5	5	17
2	2	4	4	2.0	0	0	4/4	4	1	1/2	1/2	1		0	48	C3	3	26
2	2	4	4	2.0	0	0	4/4	6	2	1/2	1/2	1		0	48	C3	3	34
2	2	4	4	2.0	0	0	4/4	8	1	1/2	1/2	1		0	48	C3	3	38
2	2	4	4	2.0	0	0	4/4	3	1	1/2	1/2	1		0	60	C4	4	24
2	2	4	4	2.0	0	0	4/4	6	1	1/2	1/2	1		4	64	E4	4	32
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1		3	69	A4	4	22
2	2	4	4	2.0	0	0	4/4	5	2	1/2	1/2	1		3	69	A4	4	30
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		4	76	E5	5	20
2	2	4	4	2.0	0	0	4/4	5	1	1/2	1/2	1		4	76	E5	5	28
2	2	4	4	2.0	0	0	4/4	7	1	1/2	1/2	1		4	76	E5	5	36
2	2	6	6	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		8	44	G#2	2	27
2	2	6	6	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		8	44	G#2	2	35
2	2	6	6	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		8	44	G#2	2	39
2	2	6	6	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1	1	5	59	B3	3	25
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	64	E4	4	23
2	2	6	6	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		4	64	E4	4	33
2	2	6	6	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		5	71	B4	4	31
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		2	74	D5	5	21
2	2	6	6	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		2	74	D5	5	29
2	2	6	6	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		2	74	D5	5	37
3	3	8	8	2.0	0	0	4/4	4	1	1/2	1/2	1		3	45	A2	2	46
3	3	8	8	4.0	0	0	4/4	6	2	1	1	1		3	45	A2	2	53
3	3	8	8	4.0	0	0	4/4	8	1	1	1	1		3	45	A2	2	56
3	3	8	8	2.0	0	0	4/4	3	1	1/2	1/2	1	-1	5	59	B3	3	44
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		4	64	E4	4	42
3	3	8	8	4.0	0	0	4/4	6	1	1	1	1		4	64	E4	4	52
3	3	8	8	2.0	0	0	4/4	5	2	1/2	1/2	1		5	71	B4	4	50
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		2	74	D5	5	40
3	3	8	8	2.0	0	0	4/4	5	1	1/2	1/2	1		2	74	D5	5	48
3	3	8	8	2.0	0	0	4/4	7	1	1/2	1/2	1		2	74	D5	5	54
3	3	10	10	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		3	45	A2	2	47
3	3	10	10	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		3	57	A3	3	45
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	64	E4	4	43
3	3	10	10	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		3	69	A4	4	51
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	72	C5	5	41
3	3	10	10	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		0	72	C5	5	49
3	3	10	10	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		0	72	C5	5	55
4	4	12	12	4.0	0	0	4/4	4	1	1	1	1		4	52	E3	3	60
4	4	12	12	4.0	0	0	4/4	6	2	1	1	1		4	52	E3	3	64
4	4	12	12	4.0	0	0	4/4	8	1	1	1	1		4	52	E3	3	66
4	4	12	12	4.0	0	0	4/4	3	1	1	1	1		8	56	G#3	3	59
4	4	12	12	4.0	0	0	4/4	2	1	1	1	1		4	64	E4	4	58
4	4	12	12	4.0	0	0	4/4	6	1	1	1	1		4	64	E4	4	63
4	4	12	12	4.0	0	0	4/4	5	2	1	1	1		8	68	G#4	4	62
