mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	4	1	1/2	1/2	1		0	48	C3	3	6
1	1	0	0	4.0	0	0	4/4	6	2	1	1	1		0	48	C3	3	13
1	1	0	0	4.0	0	0	4/4	8	1	1	1	1		0	48	C3	3	16
1	1	0	0	2.0	0	0	4/4	3	1	1/2	1/2	1		1	55	G3	3	4
1	1	0	0	4.0	0	0	4/4	6	1	1	1	1		1	55	G3	3	12
1	1	0	0	2.0	0	0	4/4	2	1	1/2	1/2	1		4	64	E4	4	2
1	1	0	0	2.0	0	0	4/4	5	2	1/2	1/2	1		4	64	E4	4	10
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	0
1	1	0	0	2.0	0	0	4/4	5	1	1/2	1/2	1		1	67	G4	4	8
1	1	0	0	2.0	0	0	4/4	7	1	1/2	1/2	1		1	67	G4	4	14
1	1	2	2	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		0	48	C3	3	7
1	1	2	2	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		1	55	G3	3	5
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		0	60	C4	4	3
1	1	2	2	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		0	60	C4	4	11
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	64	E4	4	1
1	1	2	2	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		4	64	E4	4	9
1	1	2	2	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		4	64	E4	4	15
2	2	4	4	2.0	0	0	4/4	3	1	1/2	1/2	1		-1	53	F3	3	21
2	2	4	4	2.0	0	0	4/4	4	1	1/2	1/2	1		-1	53	F3	3	23
2	2	4	4	2.0	0	0	4/4	6	2	1/2	1/2	1		-1	53	F3	3	31
2	2	4	4	2.0	0	0	4/4	8	1	1/2	1/2	1		-1	53	F3	3	35
2	2	4	4	2.0	0	0	4/4	6	1	1/2	1/2	1		3	57	A3	3	29
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1		0	60	C4	4	19
2	2	4	4	2.0	0	0	4/4	5	2	1/2	1/2	1		0	60	C4	4	27
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	17
2	2	4	4	2.0	0	0	4/4	5	1	1/2	1/2	1		3	69	A4	4	25
2	2	4	4	2.0	0	0	4/4	7	1	1/2	1/2	1		3	69	A4	4	33
2	2	6	6	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		2	50	D3	3	24
2	2	6	6	2.0	1/2	1/2	4/4	6	2	1/2	1/2	1		2	50	D3	3	32
2	2	6	6	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		2	50	D3	3	36
2	2	6	6	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		-1	53	F3	3	22
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	20
