mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	1	3/2	4	1	1/2	1/2	1		2	50	D3	3	3
1	1	0	0	2.0	0	1	3/2	6	2	1/2	1/2	1		2	50	D3	3	7
1	1	0	0	2.0	0	1	3/2	8	1	1/2	1/2	1		2	50	D3	3	9
1	1	0	0	2.0	0	1	3/2	3	1	1/2	1/2	1		-1	53	F3	3	2
1	1	0	0	2.0	0	1	3/2	6	1	1/2	1/2	1		-1	53	F3	3	6
1	1	0	0	2.0	0	1	3/2	2	1	1/2	1/2	1		3	57	A3	3	1
1	1	0	0	2.0	0	1	3/2	5	2	1/2	1/2	1		3	57	A3	3	5
1	1	0	0	2.0	0	1	3/2	1	1	1/2	1/2	1		2	62	D4	4	0
1	1	0	0	2.0	0	1	3/2	5	1	1/2	1/2	1		2	62	D4	4	4
1	1	0	0	2.0	0	1	3/2	7	1	1/2	1/2	1		2	62	D4	4	8
2	2	2	2	2.0	0	0	3/2	3	1	1/2	1/2	1		-1	53	F3	3	15
2	2	2	2	2.0	0	0	3/2	4	1	1/2	1/2	1		-1	53	F3	3	18
2	2	2	2	2.0	0	0	3/2	6	1	1/2	1/2	1		-1	53	F3	3	26
2	2	2	2	2.0	0	0	3/2	6	2	1/2	1/2	1		-1	53	F3	3	29
2	2	2	2	2.0	0	0	3/2	8	1	1/2	1/2	1		-1	53	F3	3	34
2	2	2	2	2.0	0	0	3/2	2	1	1/2	1/2	1		3	57	A3	3	12
2	2	2	2	2.0	0	0	3/2	5	2	1/2	1/2	1		3	57	A3	3	23
2	2	2	2	4.0	0	0	3/2	1	1	1	1	1		2	62	D4	4	10
2	2	2	2	4.0	0	0	3/2	5	1	1	1	1		2	62	D4	4	21
2	2	2	2	4.0	0	0	3/2	7	1	1	1	1		2	62	D4	4	32
2	2	4	4	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		4	52	E3	3	19
2	2	4	4	2.0	1/2	1/2	3/2	6	2	1/2	1/2	1		4	52	E3	3	30
2	2	4	4	2.0	1/2	1/2	3/2	8	1	1/2	1/2	1		4	52	E3	3	35
2	2	4	4	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		1	55	G3	3	13
2	2	4	4	2.0	1/2	1/2	3/2	3	1	1/2	1/2	1		1	55	G3	3	16
2	2	4	4	2.0	1/2	1/2	3/2	5	2	1/2	1/2	1		1	55	G3	3	24
2	2	4	4	2.0	1/2	1/2	3/2	6	1	1/2	1/2	1		1	55	G3	3	27
2	2	6	6	2.0	1	1	3/2	4	1	1/2	1/2	1		2	50	D3	3	20
2	2	6	6	2.0	1	1	3/2	6	2	1/2	1/2	1		2	50	D3	3	31
2	2	6	6	2.0	1	1	3/2	8	1	1/2	1/2	1		2	50	D3	3	36
2	2	6	6	2.0	1	1	3/2	3	1	1/2	1/2	1		-1	53	F3	3	17
2	2	6	6	2.0	1	1	3/2	6	1	1/2	1/2	1		-1	53	F3	3	28
2	2	6	6	2.0	1	1	3/2	2	1	1/2	1/2	1		3	57	A3	3	14
2	2	6	6	2.0	1	1	3/2	5	2	1/2	1/2	1		3	57	A3	3	25
2	2	6	6	2.0	1	1	3/2	1	1	1/2	1/2	1		2	62	D4	4	11
2	2	6	6	2.0	1	1	3/2	5	1	1/2	1/2	1		2	62	D4	4	22
2	2	6	6	2.0	1	1	3/2	7	1	1/2	1/2	1		2	62	D4	4	33
3	3	8	8	4.0	0	0	3/2	4	1	1	1	1		0	48	C3	3	44
3	3	8	8	4.0	0	0	3/2	6	2	1	1	1		0	48	C3	3	53
3	3	8	8	4.0	0	0	3/2	8	1	1	1	1		0	48	C3	3	57
3	3	8	8	4.0	0	0	3/2	3	1	1	1	1		4	52	E3	3	42
3	3	8	8	4.0	0	0	3/2	6	1	1	1	1		4	52	E3	3	51
3	3	8	8	2.0	0	0	3/2	2	1	1/2	1/2	1		3	57	A3	3	39
3	3	8	8	2.0	0	0	3/2	5	2	1/2	1/2	1		3	57	A3	3	48
3	3	8	8	4.0	0	0	3/2	1	1	1	1	1		3	69	A4	4	37
3	3	8	8	4.0	0	0	3/2	5	1	1	1	1		3	69	A4	4	46
3	3	8	8	4.0	0	0	3/2	7	1	1	1	1		3	69	A4	4	55
3	3	10	10	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		4	64	E4	4	40
3	3	10	10	2.0	1/2	1/2	3/2	5	2	1/2	1/2	1		4	64	E4	4	49
3	3	12	12	2.0	1	1	3/2	4	1	1/2	1/2	1		5	47	B2	2	45
3	3	12	12	2.0	1	1	3/2	6	2	1/2	1/2	1		5	47	B2	2	54
3	3	12	12	2.0	1	1	3/2	8	1	1/2	1/2	1		5	47	B2	2	58
3	3	12	12	2.0	1	1	3/2	3	1	1/2	1/2	1		8	56	G#3	3	43
3	3	12	12	2.0	1	1	3/2	6	1	1/2	1/2	1		8	56	G#3	3	52
3	3	12	12	2.0	1	1	3/2	2	1	1/2	1/2	1		2	62	D4	4	41
3	3	12	12	2.0	1	1	3/2	5	2	1/2	1/2	1		2	62	D4	4	50
3	3	12	12	2.0	1	1	3/2	1	1	1/2	1/2	1		2	74	D5	5	38
3	3	12	12	2.0	1	1	3/2	5	1	1/2	1/2	1		2	74	D5	5	47
3	3	12	12	2.0	1	1	3/2	7	1	1/2	1/2	1		2	74	D5	5	56
4	4	14	14	2.0	0	0	3/2	4	1	1/2	1/2	1		3	45	A2	2	65
4	4	14	14	2.0	0	0	3/2	6	2	1/2	1/2	1		3	45	A2	2	76
4	4	14	14	2.0	0	0	3/2	8	1	1/2	1/2	1		3	45	A2	2	80
4	4	14	14	4.0	0	0	3/2	3	1	1	1	1		3	57	A3	3	63
4	4	14	14	4.0	0	0	3/2	6	1	1	1	1		3	57	A3	3	74
4	4	14	14	4.0	0	0	3/2	2	1	1	1	1		4	64	E4	4	61
4	4	14	14	4.0	0	0	3/2	5	2	1	1	1		4	64	E4	4	72
4	4	14	14	4.0	0	0	3/2	1	1	1	1	1		0	72	C5	5	59
4	4	14	14	4.0	0	0	3/2	5	1	1	1	1		0	72	C5	5	70
4	4	14	14	4.0	0	0	3/2	7	1	1	1	1		0	72	C5	5	78
4	4	16	16	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1	1	4	52	E3	3	66
4	4	16	16	2.0	1/2	1/2	3/2	4	2	1/2	1/2	1		4	52	E3	3	68
