mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	4	1	1/2	1/2	1		-3	51	Eb3	3	6
1	1	0	0	2.0	0	0	4/4	6	1	1/2	1/2	1		-3	51	Eb3	3	15
1	1	0	0	2.0	0	0	4/4	8	1	1/2	1/2	1		-3	51	Eb3	3	19
1	1	0	0	2.0	0	0	4/4	3	1	1/2	1/2	1		1	55	G3	3	4
1	1	0	0	2.0	0	0	4/4	5	2	1/2	1/2	1		1	55	G3	3	10
1	1	0	0	2.0	0	0	4/4	2	1	1/2	1/2	1		-2	58	Bb3	3	2
1	1	0	0	2.0	0	0	4/4	5	3	1/2	1/2	1		-2	58	Bb3	3	13
1	1	0	0	2.0	0	0	4/4	1	1	1/2	1/2	1		-3	63	Eb4	4	0
1	1	0	0	2.0	0	0	4/4	5	1	1/2	1/2	1		-3	63	Eb4	4	8
1	1	0	0	2.0	0	0	4/4	7	1	1/2	1/2	1		-3	63	Eb4	4	17
1	1	2	2	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		2	50	D3	3	7
1	1	2	2	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		2	50	D3	3	16
1	1	2	2	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		2	50	D3	3	20
1	1	2	2	1.0	1/2	1/2	4/4	5	2	1/4	1/4	1		-1	53	F3	3	11
1	1	2	2	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		-2	58	Bb3	3	5
1	1	2	2	2.0	1/2	1/2	4/4	5	3	1/2	1/2	1		-2	58	Bb3	3	14
1	1	2	2	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-1	65	F4	4	1
1	1	2	2	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		-1	65	F4	4	3
1	1	2	2	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		-1	65	F4	4	9
1	1	2	2	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		-1	65	F4	4	18
1	1	3	3	1.0	3/4	3/4	4/4	5	2	1/4	1/4	1		-2	58	Bb3	3	12
2	2	4	4	2.0	0	0	4/4	4	1	1/2	1/2	1		-3	51	Eb3	3	27
2	2	4	4	2.0	0	0	4/4	6	1	1/2	1/2	1		-3	51	Eb3	3	35
2	2	4	4	2.0	0	0	4/4	8	1	1/2	1/2	1		-3	51	Eb3	3	39
2	2	4	4	2.0	0	0	4/4	3	1	1/2	1/2	1		-2	58	Bb3	3	25
2	2	4	4	2.0	0	0	4/4	5	2	1/2	1/2	1		-2	58	Bb3	3	31
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1		-3	63	Eb4	4	23
2	2	4	4	2.0	0	0	4/4	5	3	1/2	1/2	1		-3	63	Eb4	4	33
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	21
2	2	4	4	2.0	0	0	4/4	5	1	1/2	1/2	1		1	67	G4	4	29
2	2	4	4	2.0	0	0	4/4	7	1	1/2	1/2	1		1	67	G4	4	37
2	2	6	6	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		-2	46	Bb2	2	28
2	2	6	6	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		-2	46	Bb2	2	36
2	2	6	6	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		-2	46	Bb2	2	40
2	2	6	6	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		-2	58	Bb3	3	26
2	2	6	6	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		-2	58	Bb3	3	32
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	24
2	2	6	6	2.0	1/2	1/2	4/4	5	3	1/2	1/2	1		2	62	D4	4	34
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-1	65	F4	4	22
2	2	6	6	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		-1	65	F4	4	30
2	2	6	6	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		-1	65	F4	4	38
3	3	8	8	2.0	0	0	4/4	4	1	1/2	1/2	1		-3	51	Eb3	3	47
3	3	8	8	2.0	0	0	4/4	6	1	1/2	1/2	1		-3	51	Eb3	3	55
3	3	8	8	2.0	0	0	4/4	8	1	1/2	1/2	1		-3	51	Eb3	3	59
3	3	8	8	2.0	0	0	4/4	3	1	1/2	1/2	1		-2	58	Bb3	3	45
3	3	8	8	2.0	0	0	4/4	5	2	1/2	1/2	1		-2	58	Bb3	3	51
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		-3	63	Eb4	4	43
3	3	8	8	2.0	0	0	4/4	5	3	1/2	1/2	1		-3	63	Eb4	4	53
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	41
3	3	8	8	2.0	0	0	4/4	5	1	1/2	1/2	1		1	67	G4	4	49
3	3	8	8	2.0	0	0	4/4	7	1	1/2	1/2	1		1	67	G4	4	57
3	3	10	10	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		0	48	C3	3	48
3	3	10	10	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		0	48	C3	3	56
3	3	10	10	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		0	48	C3	3	60
3	3	10	10	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		0	60	C4	4	46
3	3	10	10	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	-3	63	Eb4	4	44
3	3	10	10	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1	1	-3	63	Eb4	4	52
3	3	10	10	2.0	1/2	1/2	4/4	5	3	1/2	1/2	1		-3	63	Eb4	4	54
3	3	10	10	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	42
3	3	10	10	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		3	69	A4	4	50
3	3	10	10	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		3	69	A4	4	58
4	4	12	12	2.0	0	0	4/4	4	1	1/2	1/2	1		-2	46	Bb2	2	67
4	4	12	12	4.0	0	0	4/4	6	1	1	1	1		-2	46	Bb2	2	74
4	4	12	12	4.0	0	0	4/4	8	1	1	1	1		-2	46	Bb2	2	77
4	4	12	12	2.0	0	0	4/4	3	1	1/2	1/2	1		-1	53	F3	3	65
4	4	12	12	2.0	0	0	4/4	2	1	1/2	1/2	1	-1	-3	63	Eb4	4	63
4	4	12	12	2.0	0	0	4/4	5	2	1/2	1/2	1	-1	-3	63	Eb4	4	71
4	4	12	12	4.0	0	0	4/4	5	3	1	1	1		-1	65	F4	4	73
4	4	12	12	2.0	0	0	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	61
4	4	12	12	2.0	0	0	4/4	5	1	1/2	1/2	1		-2	70	Bb4	4	69
4	4	12	12	2.0	0	0	4/4	7	1	1/2	1/2	1		-2	70	Bb4	4	75
4	4	14	14	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		-2	46	Bb2	2	68
4	4	14	14	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		-1	53	F3	3	66
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	64
4	4	14	14	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		2	62	D4	4	72
4	4	14	14	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	62
4	4	14	14	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		-2	70	Bb4	4	70
4	4	14	14	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		-2	70	Bb4	4	76
5	5	16	16	2.0	0	0	4/4	4	1	1/2	1/2	1		1	43	G2	2	84
5	5	16	16	2.0	0	0	4/4	6	1	1/2	1/2	1		1	43	G2	2	92
5	5	16	16	2.0	0	0	4/4	8	1	1/2	1/2	1		1	43	G2	2	96
5	5	16	16	2.0	0	0	4/4	3	1	1/2	1/2	1		-2	58	Bb3	3	82
5	5	16	16	2.0	0	0	4/4	2	1	1/2	1/2	1		-3	63	Eb4	4	80
5	5	16	16	2.0	0	0	4/4	5	2	1/2	1/2	1		1	67	G4	4	88
5	5	16	16	2.0	0	0	4/4	5	3	1/2	1/2	1		-2	70	Bb4	4	90
5	5	16	16	2.0	0	0	4/4	1	1	1/2	1/2	1		-3	75	Eb5	5	78
5	5	16	16	2.0	0	0	4/4	5	1	1/2	1/2	1		-3	75	Eb5	5	86
5	5	16	16	2.0	0	0	4/4	7	1	1/2	1/2	1		-3	75	Eb5	5	94
5	5	18	18	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		3	45	A2	2	85
5	5	18	18	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		3	45	A2	2	93
5	5	18	18	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		3	45	A2	2	97
5	5	18	18	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1	1	0	60	C4	4	83
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		-1	65	F4	4	81
5	5	18	18	2.0	1/2	1/2	4/4	5	2	1/2	1/2	1		-1	65	F4	4	89
5	5	18	18	2.0	1/2	1/2	4/4	5	3	1/2	1/2	1	1	0	72	C5	5	91
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-3	75	Eb5	5	79
5	5	18	18	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		-3	75	Eb5	5	87
5	5	18	18	2.0	1/2	1/2	4/4	7	1	1/2	1/2	1		-3	75	Eb5	5	95
6	6	20	20	2.0	0	0	4/4	4	1	1/2	1/2	1		-2	46	Bb2	2	104
6	6	20	20	2.0	0	0	4/4	6	1	1/2	1/2	1		-2	46	Bb2	2	112
6	6	20	20	2.0	0	0	4/4	8	1	1/2	1/2	1		-2	46	Bb2	2	116
6	6	20	20	2.0	0	0	4/4	3	1	1/2	1/2	1	-1	0	60	C4	4	102
6	6	20	20	2.0	0	0	4/4	2	1	1/2	1/2	1		-1	65	F4	4	100
6	6	20	20	2.0	0	0	4/4	5	2	1/2	1/2	1		-1	65	F4	4	108
6	6	20	20	2.0	0	0	4/4	5	3	1/2	1/2	1	-1	0	72	C5	5	110
6	6	20	20	2.0	0	0	4/4	1	1	1/2	1/2	1		2	74	D5	5	98
6	6	20	20	2.0	0	0	4/4	5	1	1/2	1/2	1		2	74	D5	5	106
6	6	20	20	2.0	0	0	4/4	7	1	1/2	1/2	1		2	74	D5	5	114
6	6	22	22	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		4	52	E3	3	105
6	6	22	22	2.0	1/2	1/2	4/4	6	1	1/2	1/2	1		4	52	E3	3	113
6	6	22	22	2.0	1/2	1/2	4/4	8	1	1/2	1/2	1		4	52	E3	3	117
6	6	22	22	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1	1	-2	58	Bb3	3	103
