mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	3/2	4	1	1/2	1/2	1		2	50	D3	3	7
1	1	0	0	2.0	0	0	3/2	6	1	1/2	1/2	1		2	50	D3	3	17
1	1	0	0	2.0	0	0	3/2	8	1	1/2	1/2	1		2	50	D3	3	22
1	1	0	0	2.0	0	0	3/2	3	1	1/2	1/2	1		-1	53	F3	3	4
1	1	0	0	2.0	0	0	3/2	5	2	1/2	1/2	1		-1	53	F3	3	12
1	1	0	0	4.0	0	0	3/2	2	1	1	1	1		3	57	A3	3	2
1	1	0	0	4.0	0	0	3/2	5	3	1	1	1		3	57	A3	3	15
1	1	0	0	4.0	0	0	3/2	1	1	1	1	1		2	62	D4	4	0
1	1	0	0	4.0	0	0	3/2	5	1	1	1	1		2	62	D4	4	10
1	1	0	0	4.0	0	0	3/2	7	1	1	1	1		2	62	D4	4	20
1	1	2	2	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		-1	53	F3	3	8
1	1	2	2	2.0	1/2	1/2	3/2	6	1	1/2	1/2	1		-1	53	F3	3	18
1	1	2	2	2.0	1/2	1/2	3/2	8	1	1/2	1/2	1		-1	53	F3	3	23
1	1	2	2	2.0	1/2	1/2	3/2	3	1	1/2	1/2	1		3	57	A3	3	5
1	1	2	2	2.0	1/2	1/2	3/2	5	2	1/2	1/2	1		3	57	A3	3	13
1	1	4	4	2.0	1	1	3/2	4	1	1/2	1/2	1		2	50	D3	3	9
1	1	4	4	2.0	1	1	3/2	6	1	1/2	1/2	1		2	50	D3	3	19
1	1	4	4	2.0	1	1	3/2	8	1	1/2	1/2	1		2	50	D3	3	24
1	1	4	4	2.0	1	1	3/2	3	1	1/2	1/2	1		-1	53	F3	3	6
1	1	4	4	2.0	1	1	3/2	5	2	1/2	1/2	1		-1	53	F3	3	14
1	1	4	4	2.0	1	1	3/2	5	3	1/2	1/2	1		3	57	A3	3	16
1	1	4	4	2.0	1	1	3/2	1	1	1/2	1/2	1		2	62	D4	4	1
1	1	4	4	2.0	1	1	3/2	2	1	1/2	1/2	1		2	62	D4	4	3
1	1	4	4	2.0	1	1	3/2	5	1	1/2	1/2	1		2	62	D4	4	11
1	1	4	4	2.0	1	1	3/2	7	1	1/2	1/2	1		2	62	D4	4	21
2	2	6	6	2.0	0	0	3/2	4	1	1/2	1/2	1		7	49	C#3	3	33
2	2	6	6	2.0	0	0	3/2	6	1	1/2	1/2	1		7	49	C#3	3	44
2	2	6	6	2.0	0	0	3/2	8	1	1/2	1/2	1		7	49	C#3	3	49
2	2	6	6	2.0	0	0	3/2	3	1	1/2	1/2	1		3	57	A3	3	30
2	2	6	6	2.0	0	0	3/2	5	2	1/2	1/2	1		3	57	A3	3	38
2	2	6	6	2.0	0	0	3/2	2	1	1/2	1/2	1		4	64	E4	4	27
2	2	6	6	2.0	0	0	3/2	5	3	1/2	1/2	1		4	64	E4	4	41
2	2	6	6	4.0	0	0	3/2	1	1	1	1	1		3	69	A4	4	25
2	2	6	6	4.0	0	0	3/2	5	1	1	1	1		3	69	A4	4	36
2	2	6	6	4.0	0	0	3/2	7	1	1	1	1		3	69	A4	4	47
2	2	8	8	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		0	48	C3	3	34
2	2	8	8	2.0	1/2	1/2	3/2	6	1	1/2	1/2	1		0	48	C3	3	45
2	2	8	8	2.0	1/2	1/2	3/2	8	1	1/2	1/2	1		0	48	C3	3	50
2	2	8	8	2.0	1/2	1/2	3/2	3	1	1/2	1/2	1		2	62	D4	4	31
2	2	8	8	2.0	1/2	1/2	3/2	5	2	1/2	1/2	1		2	62	D4	4	39
2	2	8	8	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		6	66	F#4	4	28
2	2	8	8	2.0	1/2	1/2	3/2	5	3	1/2	1/2	1		6	66	F#4	4	42
2	2	10	10	2.0	1	1	3/2	4	1	1/2	1/2	1		-2	46	Bb2	2	35
2	2	10	10	2.0	1	1	3/2	6	1	1/2	1/2	1		-2	46	Bb2	2	46
2	2	10	10	2.0	1	1	3/2	8	1	1/2	1/2	1		-2	46	Bb2	2	51
2	2	10	10	2.0	1	1	3/2	3	1	1/2	1/2	1		2	62	D4	4	32
2	2	10	10	2.0	1	1	3/2	5	2	1/2	1/2	1		2	62	D4	4	40
2	2	10	10	2.0	1	1	3/2	2	1	1/2	1/2	1		8	68	G#4	4	29
2	2	10	10	2.0	1	1	3/2	5	3	1/2	1/2	1		8	68	G#4	4	43
2	2	10	10	2.0	1	1	3/2	1	1	1/2	1/2	1		2	74	D5	5	26
2	2	10	10	2.0	1	1	3/2	5	1	1/2	1/2	1		2	74	D5	5	37
2	2	10	10	2.0	1	1	3/2	7	1	1/2	1/2	1		2	74	D5	5	48
3	3	12	12	4.0	0	0	3/2	4	1	1	1	1		3	45	A2	2	58
3	3	12	12	6.0	0	0	3/2	6	1	3/2	1	3/2		3	45	A2	2	66
3	3	12	12	6.0	0	0	3/2	8	1	3/2	1	3/2		3	45	A2	2	69
3	3	12	12	4.0	0	0	3/2	3	1	1	1	1		4	64	E4	4	56
3	3	12	12	4.0	0	0	3/2	5	2	1	1	1		4	64	E4	4	62
3	3	12	12	4.0	0	0	3/2	2	1	1	1	1		3	69	A4	4	54
3	3	12	12	4.0	0	0	3/2	5	3	1	1	1		3	69	A4	4	64
3	3	12	12	4.0	0	0	3/2	1	1	1	1	1		7	73	C#5	5	52
3	3	12	12	4.0	0	0	3/2	5	1	1	1	1		7	73	C#5	5	60
3	3	12	12	4.0	0	0	3/2	7	1	1	1	1		7	73	C#5	5	67
3	3	16	16	2.0	1	1	3/2	4	1	1/2	1/2	1		3	45	A2	2	59
3	3	16	16	2.0	1	1	3/2	3	1	1/2	1/2	1		4	64	E4	4	57
3	3	16	16	2.0	1	1	3/2	5	2	1/2	1/2	1		4	64	E4	4	63
3	3	16	16	2.0	1	1	3/2	2	1	1/2	1/2	1		3	69	A4	4	55
3	3	16	16	2.0	1	1	3/2	5	3	1/2	1/2	1		3	69	A4	4	65
3	3	16	16	2.0	1	1	3/2	1	1	1/2	1/2	1		7	73	C#5	5	53
3	3	16	16	2.0	1	1	3/2	5	1	1/2	1/2	1		7	73	C#5	5	61
3	3	16	16	2.0	1	1	3/2	7	1	1/2	1/2	1		7	73	C#5	5	68
4	4	18	18	4.0	0	0	3/2	4	1	1	1	1		2	50	D3	3	76
4	4	18	18	6.0	0	0	3/2	6	1	3/2	1	3/2		2	50	D3	3	84
4	4	18	18	6.0	0	0	3/2	8	1	3/2	1	3/2		2	50	D3	3	87
4	4	18	18	4.0	0	0	3/2	3	1	1	1	1		-1	65	F4	4	74
4	4	18	18	4.0	0	0	3/2	5	2	1	1	1		-1	65	F4	4	80
4	4	18	18	4.0	0	0	3/2	2	1	1	1	1		3	69	A4	4	72
4	4	18	18	4.0	0	0	3/2	5	3	1	1	1		3	69	A4	4	82
4	4	18	18	4.0	0	0	3/2	1	1	1	1	1		2	74	D5	5	70
4	4	18	18	4.0	0	0	3/2	5	1	1	1	1		2	74	D5	5	78
4	4	18	18	4.0	0	0	3/2	7	1	1	1	1		2	74	D5	5	85
4	4	22	22	2.0	1	1	3/2	4	1	1/2	1/2	1		2	50	D3	3	77
4	4	22	22	2.0	1	1	3/2	3	1	1/2	1/2	1		-1	65	F4	4	75
4	4	22	22	2.0	1	1	3/2	5	2	1/2	1/2	1		-1	65	F4	4	81
4	4	22	22	2.0	1	1	3/2	2	1	1/2	1/2	1		3	69	A4	4	73
4	4	22	22	2.0	1	1	3/2	5	3	1/2	1/2	1		3	69	A4	4	83
4	4	22	22	2.0	1	1	3/2	1	1	1/2	1/2	1		2	74	D5	5	71
4	4	22	22	2.0	1	1	3/2	5	1	1/2	1/2	1		2	74	D5	5	79
4	4	22	22	2.0	1	1	3/2	7	1	1/2	1/2	1		2	74	D5	5	86
5	5	24	24	2.0	0	0	3/2	4	2	1/2	1/2	1		5	47	B2	2	98
5	5	24	24	2.0	0	0	3/2	6	1	1/2	1/2	1		5	47	B2	2	108
5	5	24	24	2.0	0	0	3/2	8	1	1/2	1/2	1		5	47	B2	2	113
5	5	24	24	2.0	0	0	3/2	4	1	1/2	1/2	1		5	59	B3	3	95
5	5	24	24	2.0	0	0	3/2	3	1	1/2	1/2	1		2	62	D4	4	92
5	5	24	24	4.0	0	0	3/2	2	1	1	1	1		1	67	G4	4	90
5	5	24	24	4.0	0	0	3/2	5	2	1	1	1		1	67	G4	4	103
5	5	24	24	2.0	0	0	3/2	5	3	1/2	1/2	1		2	74	D5	5	105
5	5	24	24	4.0	0	0	3/2	1	1	1	1	1		-1	77	F5	5	88
5	5	24	24	4.0	0	0	3/2	5	1	1	1	1		-1	77	F5	5	101
5	5	24	24	4.0	0	0	3/2	7	1	1	1	1		-1	77	F5	5	111
5	5	26	26	2.0	1/2	1/2	3/2	4	2	1/2	1/2	1		1	43	G2	2	99
5	5	26	26	2.0	1/2	1/2	3/2	6	1	1/2	1/2	1		1	43	G2	2	109
5	5	26	26	2.0	1/2	1/2	3/2	8	1	1/2	1/2	1		1	43	G2	2	114
5	5	26	26	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		1	55	G3	3	96
5	5	26	26	2.0	1/2	1/2	3/2	3	1	1/2	1/2	1		5	59	B3	3	93
5	5	26	26	2.0	1/2	1/2	3/2	5	3	1/2	1/2	1		5	71	B4	4	106
5	5	28	28	2.0	1	1	3/2	4	2	1/2	1/2	1		0	48	C3	3	100
5	5	28	28	2.0	1	1	3/2	6	1	1/2	1/2	1		0	48	C3	3	110
5	5	28	28	2.0	1	1	3/2	8	1	1/2	1/2	1		0	48	C3	3	115
5	5	28	28	2.0	1	1	3/2	3	1	1/2	1/2	1	1	0	60	C4	4	94
5	5	28	28	2.0	1	1	3/2	4	1	1/2	1/2	1		0	60	C4	4	97
5	5	28	28	2.0	1	1	3/2	2	1	1/2	1/2	1		1	67	G4	4	91
5	5	28	28	2.0	1	1	3/2	5	2	1/2	1/2	1		1	67	G4	4	104
5	5	28	28	2.0	1	1	3/2	5	3	1/2	1/2	1	1	0	72	C5	5	107
5	5	28	28	2.0	1	1	3/2	1	1	1/2	1/2	1		4	76	E5	5	89
5	5	28	28	2.0	1	1	3/2	5	1	1/2	1/2	1		4	76	E5	5	102
5	5	28	28	2.0	1	1	3/2	7	1	1/2	1/2	1		4	76	E5	5	112
6	6	30	30	2.0	0	0	3/2	4	2	1/2	1/2	1		6	42	F#2	2	127
6	6	30	30	2.0	0	0	3/2	6	1	1/2	1/2	1		6	42	F#2	2	138
6	6	30	30	2.0	0	0	3/2	8	1	1/2	1/2	1		6	42	F#2	2	143
6	6	30	30	2.0	0	0	3/2	4	1	1/2	1/2	1		6	54	F#3	3	124
6	6	30	30	2.0	0	0	3/2	3	1	1/2	1/2	1	-1	0	60	C4	4	121
6	6	30	30	2.0	0	0	3/2	2	1	1/2	1/2	1		3	69	A4	4	118
6	6	30	30	2.0	0	0	3/2	5	2	1/2	1/2	1		3	69	A4	4	132
6	6	30	30	2.0	0	0	3/2	5	3	1/2	1/2	1	-1	0	72	C5	5	135
6	6	30	30	4.0	0	0	3/2	1	1	1	1	1		2	74	D5	5	116
6	6	30	30	4.0	0	0	3/2	5	1	1	1	1		2	74	D5	5	130
6	6	30	30	4.0	0	0	3/2	7	1	1	1	1		2	74	D5	5	141
6	6	32	32	2.0	1/2	1/2	3/2	4	2	1/2	1/2	1		8	44	G#2	2	128
6	6	32	32	2.0	1/2	1/2	3/2	6	1	1/2	1/2	1		8	44	G#2	2	139
6	6	32	32	2.0	1/2	1/2	3/2	8	1	1/2	1/2	1		8	44	G#2	2	144
6	6	32	32	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		8	56	G#3	3	125
6	6	32	32	2.0	1/2	1/2	3/2	3	1	1/2	1/2	1		5	59	B3	3	122
6	6	32	32	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		4	64	E4	4	119
6	6	32	32	2.0	1/2	1/2	3/2	5	2	1/2	1/2	1		4	64	E4	4	133
6	6	32	32	2.0	1/2	1/2	3/2	5	3	1/2	1/2	1		5	71	B4	4	136
6	6	34	34	2.0	1	1	3/2	4	2	1/2	1/2	1		3	45	A2	2	129
6	6	34	34	2.0	1	1	3/2	6	1	1/2	1/2	1		3	45	A2	2	140
6	6	34	34	2.0	1	1	3/2	8	1	1/2	1/2	1		3	45	A2	2	145
6	6	34	34	2.0	1	1	3/2	3	1	1/2	1/2	1		3	57	A3	3	123
6	6	34	34	2.0	1	1	3/2	4	1	1/2	1/2	1		3	57	A3	3	126
6	6	34	34	2.0	1	1	3/2	2	1	1/2	1/2	1		4	64	E4	4	120
6	6	34	34	2.0	1	1	3/2	5	2	1/2	1/2	1		4	64	E4	4	134
6	6	34	34	2.0	1	1	3/2	5	3	1/2	1/2	1	1	3	69	A4	4	137
6	6	34	34	2.0	1	1	3/2	1	1	1/2	1/2	1		0	72	C5	5	117
6	6	34	34	2.0	1	1	3/2	5	1	1/2	1/2	1		0	72	C5	5	131
6	6	34	34	2.0	1	1	3/2	7	1	1/2	1/2	1		0	72	C5	5	142
7	7	36	36	2.0	0	0	3/2	4	1	1/2	1/2	1		2	50	D3	3	153
7	7	36	36	2.0	0	0	3/2	4	2	1/2	1/2	1		2	50	D3	3	156
7	7	36	36	2.0	0	0	3/2	6	1	1/2	1/2	1		2	50	D3	3	166
7	7	36	36	2.0	0	0	3/2	8	1	1/2	1/2	1		2	50	D3	3	171
7	7	36	36	4.0	0	0	3/2	3	1	1	1	1		3	57	A3	3	151
7	7	36	36	2.0	0	0	3/2	2	1	1/2	1/2	1		-1	65	F4	4	148
7	7	36	36	2.0	0	0	3/2	5	2	1/2	1/2	1		-1	65	F4	4	161
7	7	36	36	4.0	0	0	3/2	5	3	1	1	1	-1	3	69	A4	4	164
7	7	36	36	4.0	0	0	3/2	1	1	1	1	1		5	71	B4	4	146
7	7	36	36	4.0	0	0	3/2	5	1	1	1	1		5	71	B4	4	159
7	7	36	36	4.0	0	0	3/2	7	1	1	1	1		5	71	B4	4	169
7	7	38	38	2.0	1/2	1/2	3/2	4	1	1/2	1/2	1		4	52	E3	3	154
7	7	38	38	2.0	1/2	1/2	3/2	4	2	1/2	1/2	1		4	52	E3	3	157
7	7	38	38	2.0	1/2	1/2	3/2	6	1	1/2	1/2	1		4	52	E3	3	167
7	7	38	38	2.0	1/2	1/2	3/2	8	1	1/2	1/2	1		4	52	E3	3	172
7	7	38	38	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		4	64	E4	4	149
7	7	38	38	2.0	1/2	1/2	3/2	5	2	1/2	1/2	1		4	64	E4	4	162
7	7	40	40	2.0	1	1	3/2	4	2	1/2	1/2	1		4	40	E2	2	158
7	7	40	40	2.0	1	1	3/2	6	1	1/2	1/2	1		4	40	E2	2	168
7	7	40	40	2.0	1	1	3/2	8	1	1/2	1/2	1		4	40	E2	2	173
7	7	40	40	2.0	1	1	3/2	4	1	1/2	1/2	1		4	52	E3	3	155
7	7	40	40	2.0	1	1	3/2	3	1	1/2	1/2	1		8	56	G#3	3	152
7	7	40	40	2.0	1	1	3/2	2	1	1/2	1/2	1		2	62	D4	4	150
